漢字	同音同調	同音異調	近音同調	近音異調	同部首同筆畫數
爽	塽	雙孀霜	吮損榫筍盾	飧舜蓀瞬潠孫順	
牽	簽阡嵌仟縴愆鉛千騫謙搴遷韆籤	乾欠前塹縴遣黔歉倩箝虔潛淺鈐譴錢鉗	箋監間尖肩縑湔兼姦堅韉漸菅殲奸緘艱濺煎	件檻劍健僭見艦毽漸諫囝檢柬簡濺減筧踐監箭間閒薦腱鍵剪建鹼瞼繭餞鑑鑒澗賤撿揀儉薦	犁
犁	喱璃釐離麗犛驪貍籬狸梨黎罹漓蠡蜊	儷澧醴哩歷靂力慄立溧娌琍粒理利厲邐俐蠣蠡俚莉鬲栗禮麗鯉礫礪唳痢蒞癘壢戾曆吏笠浬例釙荔欐李鋰裡隸酈裡勵瀝	妮尼泥霓呢倪怩	暱泥睨膩溺你擬妳旎匿逆	牽
猜		彩纔才材菜采蔡綵睬裁財採踩	釵拆差	柴儕豺	猓猖猙猛
猛	艋蜢懵錳	甍蒙矇檬夢盟虻孟朦萌懵濛		燜們懣悶門捫	猓猖猙猜
猖	倀倡昌鯧娼	常場長暢裳腸倡敞萇償唱嚐廠嫦悵氅徜嘗	艙滄琛蒼瞋傖倉參	稱襯諶岑晨塵趁讖藏涔櫬宸陳娠忱疢臣辰沉沈	猓猙猛猜
猓	槨果裹	鍋國蟈過堝摑幗郭		括擴闊廓蛞	猖猙猛猜
猙	睜掙征錚正箏癥爭崢蒸怔徵丁諍	政掙拯證証鄭正症幀整	禎增診貞真針楨斟繒臻珍砧憎偵榛甄曾箴	陣枕診鴆縝怎贈朕賑疹震娠鎮振	猓猖猛猜
率	數綠鑠律朔爍妁氯勺碩濾蟀慮帥	鋁櫚呂衰縷膂褸旅婁閭甩侶屢驢說履摔	路露鹿麓戮僇碌氯怒鷺陸錄穋忸祿賂	鎖娑滷擄瑣臚鑪索鱸顱爐女嚕奴嗦蓑弩努蘆盧魯所鹵櫓簑梭駑縮莎唆廬虜瀘	
琅	狼瑯榔郎螂廊	浪朗	囊	嫩曩	現琍琊理球
琊	椰爺耶	也噎曄冶鄴葉謁業拽頁野靨射夜咽耶			現琍理琅球
球	仇毬酋泅求裘梂囚	蚯丘邱龜秋鞦鰍	譙樵瞧憔僑喬橋翹嚼	啾巧雀蹺皎嬌廄揪鵲鳩灸竅醮蕉峭九究舊澆餃俏撬舅跤轎狡誚鮫疚橇膠攪韭赳蛟久覺教鞘救悄姣驕窖玖糾就僥焦詨角愀殼交椒柩礁較臼勦敲咎酒郊腳繳鉸鍬校絞叫矯剿翹	現琍琊理琅
理	禮澧醴浬哩鯉邐李鋰裡裡蠡俚娌	儷哩歷靂力慄立溧黎琍粒璃離利厲狸俐蠣漓蠡莉鬲栗喱麗犁礫礪唳痢犛貍籬蒞癘壢戾曆吏笠釐例釙荔驪欐梨罹隸酈勵瀝蜊	你擬妳旎	尼妮霓呢溺怩倪逆匿暱泥睨膩	現琍琊琅球
現	僩霰峴腺餡羨憲獻限蜆莧陷縣線	纖涎顯嫌銑舷銜暹啣鹹秈癬嫻險祆姍閒閑絃鮮鹹仙弦蜆掀先賢蘚	件檻劍健僭見艦漸毽諫濺踐監箭間閒薦腱建鍵餞鑑鑒澗賤薦	箋縑兼姦韉漸殲奸囝艱柬檢簡濺減筧監間肩尖湔剪鹼瞼繭堅菅緘撿揀儉煎	琍琊理琅球
琍	栗儷麗礫礪唳痢歷靂力慄立溧蒞癘壢戾曆吏笠粒例利厲釙荔欐俐酈隸蠣勵瀝鬲莉	禮喱澧醴麗犁哩鯉犛貍籬黎娌璃浬釐離理驪邐李鋰梨狸裡罹裡漓蠡蜊俚	暱泥睨膩溺匿逆	妮尼泥霓呢你擬倪怩妳旎	現琊理琅球
瓠	互戶滬楛沍護扈	壺鬍鵠蝴胡琥湖葫囫弧虎許斛瑚惚唬乎戲呼糊忽狐	富腹馥覆賻附副傅復付複赴婦咐父阜賦負駙訃	氟縛匐膚鈇俯府腑夫腐頫蝠紼扶甫幅芾孚弗輻紱福袱浮伏符菔釜敷拂涪撫怫斧孵莆趺輔彿服父麩脯芙伕俘	
瓶	枰屏坪評憑萍平馮蘋	娉乒	頻瀕嬪貧顰	拼品姘聘牝	瓷
瓷	辭疵祠雌茨詞慈磁	賜疵此伺次雌廁刺差	持弛馳池踟匙遲墀栘	赤熾翅褫啻尺恥蚩癡呎侈癡叱敕吃齒斥嗤魑飭笞喫	瓶
甜	畋填恬田闐	靦腆舔添忝天		奠甸店顛點碘典靛玷佃惦滇電鈿澱殿墊巔癲	
產	剷諂鏟闡	懺攙禪蟾儳嬋巉饞摻讒澶孱潺蟬毚單纏羼	慘	殘孱餐慚璨燦蠶參	
略	掠		虐瘧		畢異畦
畦	攜歧琪烯齊嬉琦耆膝棋騎祺溪祁析期祇祈棲枝蟋羲蹊錡曦淅其淇悉熹旗禧犀麒行蜥稀希吸臍晰鰭兮崎圻奇熙岐衹釐譆谿犧唏晞嘻西奚僖	蓆妻惜璽洗溪豈綺細棄磧乞啟係器媳棲訖漆迄慼息起夕錫歙褶氣昔愒系萋汐翕淒戲隙習欺徙鰓杞汽柒矽企喜谿稽亟悽潟泣契繫憩席熄戚七砌緝襲檄	棘璣羈疾肌集脊藉雞磯乩積幾績期屐機瘠楫嵇跡蹟基極級居戢畸姬畿其擊輯寂犄及飢嫉癘幾唧箕伋急吉奇譏激圾即汲勣稽吃亟躋籍岌嘰饑	棘洎璣羈疾暨忌肌集祭脊己騎藉芰雞磯乩劑積幾記績期屐機瘠楫嵇跡覬紀蹟基計極級妓居冀戢畸姬畿其擊寄輯寂給犄薊及飢嫉癘際幾唧箕麂繼急伋擠薺吉奇譏激圾季即稷髻霽汲技勣稽吃亟既悸籍躋繫岌嘰濟鯽戟驥饑	畢異略
畢	弊璧必敝鉍薜嗶痺箄襞避臂斃庇愎俾陛碧賁泌鄙蹕篦蔽詖埤辟閉弼婢祕比壁睥幣裨	彼鄙筆逼匕比沘鼻妣			異畦略
異	屹藝肄軼刈誼囈縊逸佾溢劓疫懿鎰毅義邑億液佚役易羿弋裔蜴驛弈帟譯翌益臆腋亦艾曳詣議意繹憶掖浥翳奕一抑翼衣	漪尾咦姨椅壹蟻飴旖誼偯迤栘移以彝夷已遺沂宜咿醫頤伊噫疑乙怡貽揖訑迆蛇矣圯胰儀一衣痍倚依			畢畦略
疏	束數殊庶樹倏橾樞術梳戍恕抒述墅豎漱署書蔬輸曙舒	樹橾叔塾菽術淑贖黍恕屬述漱豎書輸束熟殊數庶鼠倏藷樞梳戍暑孰蜀薯抒墅蔬署舒曙	塑蘇肅囌粟訴素蓿簌宿縮速酥甦穌嗉溯夙	塑蘇肅囌粟訴素俗蓿簌宿縮速酥甦穌嗉溯夙	
痔	雉秩幟蛭稚窒志痣智緻滯致置至摯峙製輊躓治知識制質炙誌	姪止植織梔咫泜氏芷脂胝值汁址吱肢執摭祇祉躑枝蜘直支擲知徵隻質紙趾只之指祗職芝旨卮殖	字恣漬孳自	仔訾紫滓籽淄錙緇貲梓咨茲子姿孳資孜輜滋諮齜玆髭吱	疵痕痊痍
痕		恨很狠	吭妨恆航汾肪逢墳馮焚行縫杭桁防坊房衡橫	瘋峰氛倣豐諷舫吩分仿份豐芬鳳紡奮行沆楓鋒訪烽坊芳風亨俸橫哼放棻奉糞方縫蜂紛忿枋憤彷封粉	疵痔痊痍
疵	辭祠茨雌瓷詞慈磁差	辭賜此次祠雌詞差伺茨廁瓷刺慈磁	蚩癡踟匙癡吃栘弛持馳嗤池魑遲墀笞喫	翅熾啻尺蚩癡匙敕栘齒弛馳嗤魑飭遲笞喫赤褫恥呎踟侈癡叱吃持斥池墀	痕痔痊痍
痊	蜷卷詮犬銓踡佺荃全權泉拳	圈甽犬勸畎券		倦卷雋捐捲鐫眷娟圈絹身涓鵑狷	疵痕痔痍
痍	咦姨飴疑怡貽誼訑迤蛇栘移彝夷遺沂圯胰儀宜一頤	漪蟻藝屹肄軼刈誼囈迤縊以逸佾已溢劓醫疫噫乙懿鎰毅揖義迆邑億液役佚易羿倚尾弋裔蜴椅壹驛弈旖譯帟翌異益偯臆亦艾腋曳咿議詣意伊繹憶掖浥翳矣奕一翼抑衣依			疵痕痔痊
皎	較勦餃姣狡腳僥繳鉸攪角絞剿矯	教礁較澆跤姣轎驕窖郊鮫嬌膠焦詨校叫交椒蛟覺醮嚼蕉	九朽巧雀悄酒篠曉玖糾小愀韭鵲赳宿灸久	毬溴囂袖啾蹺修哮消廄邱揪簫肖鳩竅囚峭羞究秋逍舊俏秀撬舅球誚硝疚銷橇脩仇瞧宿嗅傚蕭宵橋蚯梟樵鞘憔救酵裘削糾就效笑龜霄驍泅殼嘐求喬孝咻岫梂柩丘嘯臼敲咎鏽譙酋鍬校僑臭瀟鞦休鰍繡學翹	
盔	窺虧	匱睽喟魁傀奎愧夔葵餽揆簣逵潰	閨龜珪圭瑰鮭皈傀規歸	鬼桂鱖癸軌跪詭晷櫃貴	盒盛
盒	嗑合蓋河郃翮和紇闔盍核荷貉禾曷劾閡何褐閤涸	嚇郝和訶喝鶴賀暍荷赫呵			盔盛
盛	呈乘澄賸丞懲橙剩勝成誠城程承聖	稱澠生昇秤勝升瞠繩逞撐牲省笙甥騁聲陞	諶岑晨滲甚塵腎涔宸陳娠忱蜃沁臣曾脤辰慎沉層沈	砷信趁申僧伸櫬呻身疢瞋參紳沈稱哂襯審甚瀋莘讖娠深琛森嬸神	盔盒
眷	倦雋絹圈卷狷	圈捲身捲捐鵑涓鐫娟	鉉眩漩勸炫絢旋券渲	蜷甽漩諼圈喧詮選銓佺踡全璿泉旋玄拳懸卷還犬煖暄權軒晅宣萱壎畎荃縣痊	眺眸眾眼眶
眾	仲湩中重種	踵盅忠鍾衷塚終忪中腫鐘塚種	粽縱綜圳從俊	傯準總肫縱鬃樽棕屯諄蹤尊綜遵宗准撙	眺眸眼眶眷
眼	鼴衍魘掩偃兗儼郾演	豔閻癌堰焰諺菸雁簷驗湮醃贗咽艷殷硯巖炎晏延研妍嚥奄彥煙簷胭沿燕鹽醃饜顏釅筵巖厭嚴淹燄言焉嫣宴唁			眺眸眾眶眷
眶	壙礦況框曠	劻匡筐框誑狂	睏逛棍困	獷輥鯀琨焜滾錕昆梱袞捆髡綑廣洸胱坤光崑	眺眸眾眼眷
眸	繆牟謀	某	髦錨毛茅矛	懋泖貌貿帽茆瑁卯貓茂耄冒	眺眾眼眶眷
眺	頫覜跳	挑條佻調迢蜩窕	掉釣吊調弔	刁凋叼彫丟碉鯛貂雕	眸眾眼眶眷
硫	劉留泵琉遛瀏流榴瘤	霤鉚柳餾陸六溜	遼寮嘹僚繚燎聊潦寥撩療牛	尿廖扭撩料妞燎了暸拗鈕鳥紐忸瞭嬝裊	硃硎
硃	誅銖蛛豬諸朱藷茱侏珠株	主軸杼苧註築柱矚囑朮築屬燭煮鑄住渚助竹竺佇蛀拄箸貯駐躅逐注祝	租	詛卒祖俎足組阻族嗾	硫硎
硎	邢行刑陘型形	醒性興幸馨倖惺杏星悻姓省腥猩	尋	竟頸涇信靖心粳燼馨芯精靜筋縉謹進訢巾莖新競噤津儘莘覲斤經璟錦近逕昕今境欣驚景鋅睛矜勁警襟更徑觔兢瑾晶旌京井盡饉金晉鯨痙緊淨僅禁荊鏡菁薪憬浸辛敬釁阱	硃硫
祥	翔庠詳降	餉響湘像襄嚮鄉鑲瓖橡巷廂象享饗箱香想項向相	尋	信心彊燼馨芯降筋縉謹漿進韁獎醬訢巾新津噤莘儘匠疆覲斤講槳近錦昕今欣江鋅矜薑勁襟觔瑾絳僵盡饉金晉緊僅禁浸蔣薪辛釁姜將強	票祭
票	驃漂剽	飄縹瓢漂嫖瞟			祥祭
祭	洎暨寄忌薊騎芰際劑債繼薺寨記季稷髻霽技紀覬既悸計躋繫責濟妓鯽驥冀	棘璣齋羈齊疾肌集宅脊己藉雞磯乩積幾績期屐機楫瘠嵇跡蹟基級極居戢畸姬畿其擊輯寂給犄摘飢及嫉癘幾翟唧箕窄麂擠急伋奇吉譏激圾即汲勣稽吃亟躋籍岌嘰濟戟饑	愒系汐翕戲隙妻細磧棄汽係器矽企訖載亟迄在泣潟再契夕繫憩砌緝歙氣	歧烯嬉耆惜祺璽洗析祁乞祇祈哉枝漆錫錡曦悉熹旗犀萋麒蜥稀希欺崎奇熙柒栽喜稽犧悽席奚熄七僖攜琪齊琦蓆膝棋騎妻溪豈綺災仔啟期媳棲息慼蟋羲起宰蹊昔褶淅淇其禧行淒吸習徙臍晰畦鰭兮杞圻鰓岐衹釐谿譆載唏晞嘻西戚檄襲	祥票
移	咦姨飴疑怡貽誼訑迤蛇栘彝夷遺沂圯胰儀宜一痍頤	漪蟻藝屹肄軼刈誼囈迤縊以逸佾已溢劓醫疫噫乙懿鎰毅揖義迆邑億液役佚易羿倚尾弋裔蜴椅壹驛弈旖譯帟翌異益偯臆亦艾腋曳咿議詣意伊繹憶掖浥翳矣奕一翼抑衣依			
窒	雉秩幟蛭稚志痣智緻滯致置痔至摯峙製輊躓治知識制質炙誌	姪止植織梔咫泜氏芷脂胝值汁址吱肢執摭祇祉躑枝蜘直支擲知徵隻質紙趾只之指祗職芝旨卮殖	字恣漬孳自	仔訾紫滓籽淄錙緇貲梓咨茲子姿孳資孜輜滋諮齜玆髭吱	窕
窕	挑	頫眺挑條佻調迢蜩覜跳		刁叼丟彫吊調掉凋釣碉鯛貂雕弔	窒
笠	栗儷麗礫礪唳痢歷靂力慄立溧蒞癘壢戾曆琍吏粒例利厲釙荔欐俐酈隸蠣勵瀝鬲莉	禮喱澧醴麗犁哩鯉犛貍籬黎娌璃浬釐離理驪邐李鋰梨狸裡罹裡漓蠡蜊俚	暱泥睨膩溺匿逆	妮尼泥霓呢你擬倪怩妳旎	符笙笛笨笮笞第
笨		畚奔本賁苯	迸旁傍蚌蹦謗棒鎊磅	榜傍甭膀幫崩邦綁梆繃	笠符笙笛笮笞第
笛	鏑荻迪的犒嘀翟狄滌芽敵嫡	滴低締底帝的地蒂第氐牴娣砥遞諦弟柢棣邸抵詆	題堤蹄啼隄緹提	悌屜體剃嚏剔涕梯踢替銻逖惕	笠符笙笨笮笞第
第	娣締遞諦帝弟的地棣蒂	滴低鏑荻迪底的嘀狄敵氐牴砥柢犒翟滌芽邸笛抵詆嫡	涕悌屜剃替銻逖嚏惕	剔題梯堤蹄踢啼體隄緹提	笠符笙笛笨笮笞
符	氟縛匐夫蝠紼扶芾幅孚弗輻紱袱福浮伏菔拂涪怫彿服芙俘	富馥覆附膚俯鈇複府夫腑腐頫甫阜腹賻副傅復釜敷付撫斧孵赴婦莆趺輔咐父麩脯賦負駙伕訃	壺鬍蝴鵠胡湖囫葫弧斛瑚糊狐	瓠互琥虎扈許惚唬乎戲呼戶忽滬楛沍護	笠笙笛笨笮笞第
笙	勝升生牲甥聲昇陞	勝澠繩乘賸省聖盛剩	砷信申僧莘伸呻娠深身森參紳	哂審甚滲瀋腎蜃沁嬸脤神慎沈	笠符笛笨笮笞第
笞	嗤蚩癡魑癡吃喫	赤熾翅褫啻尺恥呎踟侈匙敕叱栘齒弛持馳斥池飭遲墀	疵雌差	辭賜此疵次祠雌詞伺茨廁瓷刺慈磁	笠符笙笛笨笮第
笮	則擇澤賊責嘖窄咋	仄側怎	蜇哲折摺摘懾輒謫轍褶	浙遮這著蔗螫赭鷓者宅	笠符笙笛笨笞第
粒	栗儷麗礫礪唳痢歷靂力慄立溧蒞癘壢戾曆琍吏笠例利厲釙荔欐俐酈隸蠣勵瀝鬲莉	禮喱澧醴麗犁哩鯉犛貍籬黎娌璃浬釐離理驪邐李鋰梨狸裡罹裡漓蠡蜊俚	暱泥睨膩溺匿逆	妮尼泥霓呢你擬倪怩妳旎	粗粕
粗		鏃趨錯促卒槭蹴蹙簇醋趣	齣出初	矗畜黜儲鋤除絀杵礎跦楮廚怵褚雛處櫥歜躇楚觸芻	粕粒
粕	醱破迫泊珀魄樸	剖婆陂波叵鄱潑坡頗			粗粒
絆	瓣拌扮辦伴半姅	板搬般斑舨頒瘢阪版班扳闆鈑			累紮絀絃終組紼紹統紲紳細紱
絃	嫌嫻舷銜閒閑啣鹹涎賢鹹弦	僩纖峴餡顯限莧銑暹秈癬現險霰腺祆姍羨鮮憲仙獻蜆陷掀縣先線蘚		件劍見縑韉毽漸囝簡筧減肩建鹼瞼堅餞鑑鑒澗賤撿揀儉煎箋檻健僭兼艦姦殲奸諫艱柬檢濺踐監箭間閒尖湔薦腱剪鍵繭菅緘薦	累紮絀終組絆紼紹統紲紳細紱
統	筒桶	瞳同銅峒桐僮彤痛恫慟通潼童	躉董懂盹	鈍蹲棟惇東豚冬鼕洞屯臀墩動沌飩褪囤恫頓遁燉胴吞噸凍盾盹敦咚	累紮絀絃終組絆紼紹紲紳細紱
紮	閘炸札扎匝	柵喳搾扎砟詐砸咋乍查搾眨雜炸咱偺渣吒蚱	查雜喳咱扎偺渣砸	閘柵搾扎砟詐匝咋乍搾眨炸札渣吒蚱	累絀絃終組絆紼紹統紲紳細紱
紹	召邵哨少	勺芍捎燒少稍杓韶梢	授售狩壽受綬掃嗽獸瘦	叟守熟騷收手颼嗾艘搜首藪餿蒐繅掃擻搔嫂	累紮絀絃終組絆紼統紲紳細紱
紼	氟縛匐夫蝠扶芾幅孚弗輻紱袱福浮伏符菔拂涪怫彿服芙俘	富馥覆附膚俯鈇複府夫腑腐頫甫阜腹賻副傅復釜敷付撫斧孵赴婦莆趺輔咐父麩脯賦負駙伕訃	壺鬍蝴鵠胡湖囫葫弧斛瑚糊狐	瓠互琥虎扈許惚唬乎戲呼戶忽滬楛沍護	累紮絀絃終組絆紹統紲紳細紱
絀	怵矗處畜黜歜觸	齣出鋤儲除杵礎跦楮廚褚雛處櫥躇楚初芻	鏃趨錯促卒槭蹴蹙簇醋趣	粗	累紮絃終組絆紼紹統紲紳細紱
細	翕潟戲夕隙係繫矽系汐歙	攜烯嬉蓆膝惜璽洗溪析媳棲息蟋羲錫蹊昔褶曦淅悉熹禧犀行蜥稀希吸習徙晰畦兮鰓熙釐喜谿譆犧唏晞嘻西席奚熄襲僖檄	洎暨寄忌祭薊騎芰際劑繼薺記季稷髻霽技紀覬既悸計躋繫濟妓鯽驥冀	棘璣羈疾肌集脊己藉雞磯乩積幾績期屐機楫瘠嵇跡蹟基級極居戢畸姬畿其擊輯寂給犄飢及嫉癘幾唧箕麂擠急伋奇吉譏激圾即汲勣稽吃亟躋籍岌嘰濟戟饑	累紮絀絃終組絆紼紹統紲紳紱
紳	呻伸深砷娠信身參申莘	哂審甚滲瀋腎蜃沁嬸脤神慎沈	桑生僧昇殤觴升勝湯牲森傷笙甥聲商陞喪	嗓晌賞澠乘裳賸尚剩勝上繩省聖盛喪	累紮絀絃終組絆紼紹統紲細紱
組	詛祖俎阻	卒租足族嗾	主渚囑貯屬拄煮矚	軸杼苧註築柱諸朱茱銖朮築燭鑄住助竹竺佇蛀藷侏硃誅蛛箸駐躅逐注豬祝株珠	累紮絀絃終絆紼紹統紲紳細紱
累	擂壘類嫘漯縲蕾磊鐳儡淚羸耒雷	擂壘類漯嫘縲蕾磊鐳儡淚羸耒雷勒	內餒哪	內餒哪	紮絀絃終組絆紼紹統紲紳細紱
終	盅忠鍾中鐘衷忪	踵眾仲湩腫中塚重塚種	屯諄蹤尊肫縱綜遵鬃樽宗棕	傯準總粽縱綜圳准從俊撙	累紮絀絃組絆紼紹統紲紳細紱
紲	蟹邂榭屜解洩屑駭卸械瀉懈謝褻契燮楔洩	攜協歇寫邪斜些挾諧蠍偕鞋擷頡血脅勰	戒芥疥界藉誡解借介屆	捷階拮皆桔街截詰節傑桀揭孑頡接碣姊劫櫛解嗟羯訐竭睫偕擷結潔姐傑	累紮絀絃終組絆紼紹統紳細紱
紱	氟縛匐夫蝠紼扶芾幅孚弗輻袱福浮伏符菔拂涪怫彿服芙俘	富馥覆附膚俯鈇複府夫腑腐頫甫阜腹賻副傅復釜敷付撫斧孵赴婦莆趺輔咐父麩脯賦負駙伕訃	壺鬍蝴鵠胡湖囫葫弧斛瑚糊狐	瓠互琥虎扈許惚唬乎戲呼戶忽滬楛沍護	累紮絀絃終組絆紼紹統紲紳細
缽	撥玻菠般播剝	荸亳搏帛簸薜伯蔔博脖勃跛舶泊鉑膊擘渤箔薄駁播檗白蘗鈸柏			
羞	脩休修咻	溴袖宿朽嗅臭秀鏽繡岫	教梟囂啾姣哮驕消削糾嬌焦詨霄驍揪簫交椒鳩嘐蕉礁逍澆跤郊鮫硝銷膠蛟瀟蕭宵	皎廄肖灸醮九究舊餃舅轎狡篠疚攪韭赳傚久覺教救酵姣窖糾玖就僥效笑角孝柩嘯較臼勦咎酒腳曉繳小鉸校絞叫剿矯學嚼	羚
羚	齡蛉菱櫺玲翎聆昤鴒泠苓凌陵綾鈴靈零伶	領拎令另嶺	檸痳霖嚀麟鱗您獰凝林鄰燐淋寧磷擰轔遴臨琳璘	擰吝佞懍躪藺凜濘賃	羞
翌	屹藝肄軼刈誼囈縊逸佾溢劓疫懿鎰毅義邑億液佚役易羿弋裔蜴驛弈帟譯異益臆腋亦艾曳詣議意繹憶掖浥翳奕一抑翼衣	漪尾咦姨椅壹蟻飴旖誼偯迤栘移以彝夷已遺沂宜咿醫頤伊噫疑乙怡貽揖訑迆蛇矣圯胰儀一衣痍倚依			習翎
翎	齡蛉菱櫺玲聆昤鴒泠苓凌陵綾鈴靈羚零伶	領拎令另嶺	檸痳霖嚀麟鱗您獰凝林鄰燐淋寧磷擰轔遴臨琳璘	擰吝佞懍躪藺凜濘賃	習翌
習	錫惜席熄媳蓆襲褶檄息昔	攜烯嬉膝璽洗溪細析係棲蟋羲夕蹊歙曦淅悉熹禧犀系汐行翕蜥稀戲隙希吸徙晰畦兮鰓熙釐矽喜谿譆犧唏晞嘻西潟繫奚僖	棘戢疾擊輯寂集脊及嫉藉唧急伋吉圾即楫瘠汲吃亟籍級極岌	洎璣羈暨忌肌祭脊己騎芰雞磯乩劑積幾記績期屐機嵇跡覬紀蹟基計妓居冀畸姬畿其寄給犄薊飢癘際幾唧箕麂繼擠薺奇譏激季稷髻霽技勣稽既悸躋繫嘰濟鯽戟驥饑	翌翎
耜	賜祀泗兕肆食飼巳伺嗣似寺駟姒俟四	撕司廝絲斯鷥私思嘶死	拭恃式軾適是飾柿奭氏士使視螫弒市示試豉仕噬誓筮室勢侍世嗜識逝事釋舐	豕屍匙溼獅虱使拾詩碩失十蝨噓始塒石蝕實食施時提史師濕屍矢什屎射駛	
聊	遼寮嘹僚繚燎潦寥撩療	廖燎了暸撩料瞭	劉留泵琉遛瀏流榴硫瘤牛	尿柳扭溜霤妞鉚餾拗鈕陸鳥六紐忸嬝裊	聆
聆	齡蛉菱櫺玲翎昤鴒泠苓凌陵綾鈴靈羚零伶	領拎令另嶺	檸痳霖嚀麟鱗您獰凝林鄰燐淋寧磷擰轔遴臨琳璘	擰吝佞懍躪藺凜濘賃	聊
脯	葡樸濮俯釜府撫腑釙腐樸蹼頫斧莆輔甫父菩蒲璞僕匍	氟縛匐埔馥覆附膚鈇複夫蝠誧紼扶溥暴芾幅噗紱袱賻傅付拂涪赴彿僕服撲撲賦芙俘訃普富圃阜孚弗輻福腹浮伏符菔鋪副復敷浦怫孵婦趺咐父麩譜瀑曝負駙伕	唬琥許虎	瓠壺鬍蝴鵠斛惚戲呼戶滬沍楛護狐互胡湖囫葫扈弧瑚乎忽糊	脩脫脰脣脤脖
脖	荸搏帛蔔駁伯博檗勃白鈸膊泊舶鉑柏渤箔薄	玻撥亳般簸薜播檗菠蘗跛缽剝擘薄			脩脫脯脰脣脤
脣	淳鶉醇純唇	蠢春	撞崇淙蟲蟲床重幢從叢存	衝沖愴吋瘡闖囪村窗舂忖創蔥寸匆皴充樅寵憧搶從聰	脩脫脯脰脤脖
脫	拖託托	馱跎陀唾沱橢鴕佗柝妥駝拓	多朵	咄剁踱奪躲朵馱墮度跺惰鐸舵多	脩脯脰脣脤脖
脩	休修咻羞	溴袖宿朽嗅臭秀鏽繡岫	教梟囂啾姣哮驕消削糾嬌焦詨霄驍揪簫交椒鳩嘐蕉礁逍澆跤郊鮫硝銷膠蛟瀟蕭宵	皎廄肖灸醮九究舊餃舅轎狡篠疚攪韭赳傚久覺教救酵姣窖糾玖就僥效笑角孝柩嘯較臼勦咎酒腳曉繳小鉸校絞叫剿矯學嚼	脫脯脰脣脤脖
脰	豆讀鬥竇痘逗	陡枓斗蚪都抖兜	悼到導套透倒蹈稻盜道	刀濤萄島燾韜桃偷頭檮淘搗禱洮滔逃啕討絛導叨陶掏倒饕投	脩脫脯脣脤脖
脤	腎蜃滲甚沁慎	哂砷信審甚瀋申莘伸呻娠深身嬸紳參神沈	勝上乘賸尚聖盛喪剩	桑賞澠僧殤勝升湯省傷笙甥喪陞嗓晌生裳昇觴上繩牲森商聲	脩脫脯脰脣脖
舂	衝沖充憧	衝寵崇蟲蟲重	蔥皴匆樅村囪從春聰	鶉吋忖淳寸醇蠢唇純淙脣從存叢	
舵	墮馱咄度剁踱跺惰	鐸奪躲多朵	唾柝拓	陀跎沱妥託馱脫橢鴕佗拖駝托	船舷舶
舷	嫌嫻銜閒閑絃啣鹹涎賢鹹弦	僩纖峴餡顯限莧銑暹秈癬現險霰腺祆姍羨鮮憲仙獻蜆陷掀縣先線蘚		件劍見縑韉毽漸囝簡筧減肩建鹼瞼堅餞鑑鑒澗賤撿揀儉煎箋檻健僭兼艦姦殲奸諫艱柬檢濺踐監箭間閒尖湔薦腱剪鍵繭菅緘薦	船舶舵
舶	荸搏帛蔔駁伯博檗脖勃白鈸膊泊鉑柏渤箔薄	玻撥亳般簸薜播檗菠蘗跛缽剝擘薄			船舷舵
船	傳	釧舛串穿川喘		爨竄篡	舷舶舵
莎	娑鯊裟煞簑沙殺梭杉砂嗦縮唆紗蓑	鎖傻所霎瑣廈索煞	撒說	數鑠朔爍妁薩卅灑撒勺碩蟀颯帥率	莖荸荻莒荼莓莞莽莘荷莆莧莠莢莊莫莉
莞	館彎灣琯觀矜蜿挽宛官皖鰥綰豌剜婉冠綸棺關碗倌管輓晚娩	惋館彎灣琯丸完觀矜腕蜿挽鸛宛官皖鰥汍綰剜豌罐婉冠綸盥棺關碗倌頑管萬灌貫慣玩輓晚娩	寬宛髖淵冤鴛鳶梡款遠	緣媛員原髖園鳶圓援湲遠袁宛沅冤款寬院源願轅願騵怨猿爰元苑垣淵鴛梡	莖荸荻莒荼莓莽莘荷莆莧莠莢莎莊莫莉
莘	欣砷信心鋅新芯馨申呻伸深娠薪身辛訢紳參昕	哂信審滲甚芯瀋腎蜃尋沁釁嬸脤神慎沈	桑涇粳馨精筋漿鑲廂傷甥韁陞巾莖生興津昇惺鄉疆斤星牲經森香商今驚江睛矜襄薑僧殤勝升更襟觔湯兢笙晶旌喪僵京金湘鯨禁觴荊菁浸瓖姜腥猩將箱聲相	邢竟賞頸澠靖彊祥燼降靜刑縉謹橡巷省陘進獎醬嗓醒餉興乘賸響幸競噤儘形匠覲倖鄉講象璟槳錦近想項硎逕境景詳勁警勝行翔徑瑾享型絳聖盛喪晌性裳盡井尚饉晉像痙緊淨嚮僅禁剩鏡上庠蔣憬浸杏繩敬阱悻姓饗將相向強	莖荸荻莒荼莓莞莽荷莆莧莠莢莎莊莫莉
荸	搏帛蔔駁伯博檗脖勃白鈸膊泊舶鉑柏渤箔薄	玻撥亳般簸薜播檗菠蘗跛缽剝擘薄			莖荻莒荼莓莞莽莘荷莆莧莠莢莎莊莫莉
