一,二仄三左旦丁刁下上於兀士幹不天王且丘本甘石百
祿,綠碌錄氯剝祖祁祥祕祠祚祐祉祈祇祆社祀祺禎視緣神祝福祗禱
禁,宗奈票祭禦祟噤襟示礬焚三婪碳竺楚梵二不滅棕耘隸杯
萬,躉厲癘邁苗藕薯禺愚寓茵茴英夢甲巾遇偶勵礪蠣
禽,擒噙漓僕璃魑企儕位住佔傍停偵偯倍依伉仿每乞崩人傚僮億朔倣信儲
稜,綾稷陵凌菱傻鉻後鈑鋒販板瀲反廈憂賂格秒穡穫皈返扳蔆各冬
稚,椎雜榫樵黍禾進淮推惟堆唯錐秋秈和私稔稞碓睢雉雊種稍雒雅雄帷租
稠,週惆啁稱碉凋綢蜩調稻租鯛穩和禾稚稍秧秋秈私程稿穡周番香委
稔,捻唸黍稚念鈐穗吟移秒穫伶秘私利禾季岑稜鈴稱稈程稀槍嵇稿稼稽稷
稟,迴懍凜啾茴菌逶嗇蘇禾蛔榛諉透徊穡裹番香委誘臻秈和私
稞,棵番禾裸猓秣秋秈和私潘播墦審蕃稚稍種租秘科稷幡果香季委
窟,掘崛倔窘屈窖窩窯窄穹空竄竇窠窒突簾究窪窕窈窺出
窠,空穹窗窄突穿簾究果裸棵窒巢竊裹竇稞猓窪窕窮窈窟窩窘窖窯課踝髁
筷,快袂決抉筍也鴃忽訣缺悚忖筋箱符柒宅忿竹惚牠迆池托弛她地吒他
節,唧卿鯽即櫛昂茆迎抑仰廄鉚啣柳泖腳概溉慨孵聊御卹印叩卯
筠,均鈞昀勻等籌痣志猿誌特釣的灼杓妁地冰丟壬篛芍勾勺
筮,噬巫誣雁竽竿仄竺靈箴笨笙乏麼築簇蒙簪卒來夾坐竹戌後斥丙斤從俎
筧,莧覓峴覺蜆硯視現規見覜覦靦覬覲觀窺攪算篡能比
粱,梁屎糜米迷咪粟蚤氣粥麋樑憐燐遴粒粕粗掬璘料敉籽紂磷轔鱗
粳,梗硬埂哽便更甦粗敉鞭粒粕糖料糠籽糯米精糢糟糧糞
粵,朽兮巧娉誇聘污圬釆乎虧騁悉呼畏竊萼米粳釉猥愕耨胯蟋鍔垮糯
經,逕涇輕徑痙莖紜氫縉縲絲緇絃繅縹紆紅綏給綜縴絰緬糸
絹,緝綏綵結縲絲綬紹糸絨絡給緩絃縞繃組細納繩綱綢
綑,縲細絲綵糸紆紂繙綱綢絢維練絆絀紳組紲紋純紐納紗紀約繡糾絹綏結
綁,梆絲縲邦糸縫繈絆細紐糾繡絨績緻緞緲紕縱纖綠維緒綽絢緬綞緙統紼
綏,綵綬緩縲絲絹纓組網綱綢絃糸結絨繃縴細納糾緲
絛,攸脩倏鯈條修候似紊繁爪係仲糸悠傲傚做倣細敕收俟緊累系繫
置,矗植值罟殖罩買直罵眾罪罰罹羅羈寰薨遝澴還
罩,罟棹掉悼置買眾罰罵罪罹卓綽羅羈楞愣寰遝澴還
罪,痱菲扉屝霏徘靡腓排啡匪俳誹非罹罩罰羅羈置買罵眾罟
署,薯褚曙箸著暑屠奢楮渚堵睹諸者緒嘟賭赭煮豬
義,儀蟻峨娥哦俄議羲我蛾餓羔恙美姜對羨善羹鵝曦犧
羨,嵌茨崁漱嶔簌闕羔恙美姜澄義羲善羹久對嗽撳柩坎
群,郡咩嗟詳磋烊洋佯祥徉鮮庠君裙搓嵯蹉羋羊氧羼
聖,呈鋸倨逞望居窖程誥踞衽妊任薰壬皓造浩燻廷
聘,娉騁污圬虧宙誇聶軸耽朽聰聯職鈾袖耿恥耶迪柚油抽岫妯取巧耳笛兮
肆,套津律建筆肄聿肇屋渥握喔腱健鍵冽刁叼毽帚雲
肄,建肇津律健筆肆腱鍵毽聿佈啟牧改比俺雌矢匕
腱,健鍵毽建梃挺奴股艇蜓涎肄怪聿又肇隻庭雙誕馭津服腋胳舜筵筆霆帑
腰,溧慄遷要價粟栗賈覆袖肛婁膈醃脰澴還環褸韆胴亞
腸,暘煬楊揚場鍚陽暢瘍颺腥豚傷觴豕湯袒殤脆怛坦但逐冥
腥,惺猩醒星鏟旌生隆牲性姓笙腸產甥猜甦晴拜冥
腮,思鰓胭胛雷慮囤聰曳蔥渭喟擂鐳朋月蕾甸囫嗯醃憾胎胝膾臆鈿勰洩拽
腳,卻叩啣唧仰欲溶熔榕鎔蓉鉚御柳迎泖抑聊卿鯽卸裕浴峪俗節容茆昂命
腫,湩鍾董種踵慟重衝動懂脾肌腴脈裡千舀軍冗裡貍鋰胭狸浬娌埋哩胛俚
腹,愎複復馥胳膾股臉皈反腋鈑返板扳肌伋晷夜各冬冗
腺,線帕泉泊湟鉑迫柏拍怕伯鵬白遑煌嗥隍棉惶錦舶粕珀
腦,瑙惱臘淄錙緇輜邋巡繅獵蠟媲巢災鬣胭篦邕囪姦
舅,虜甥臼鼠男擄舀舂裒閻舊力滔焰稻陷潟樁啗茵恩劣另筋脅竄臾身諂動
艇,蜓梃挺庭舨舟舶舢艋霆舫舵舷船航艘廷艙艦涎筵
蒂,啼締蹄帝諦啻席常滿瞞希蹣蓆幕籬巾鈽滯棉錦砸怖佈
葷,暈轟運暉渾揮蓮琿輝軍漣褲鏈車攆庫連軋鰱菜載輦軸軟輞軒軏陣軌
落,喀擱露菠雒洛蔆藩莎藻各茫蕩范萍蒲蒞蓬菱閣客芟反路鉻略胳珞烙格
萱,暄渲喧莞苧宣蓿洹菅蓉奭桓晅垣崇荸蕙著苦芰芾宿蕩百棕淙梡
葵,闋揆睽癸澄嶝燈橙登嚴疚茨歉欽歎磴瞪炊坎吹
葦,闈圍違偉幃緯韓苯拿韋笨韌韜吾本缽圄衛梧晤諱捂悟唔
葫,苦湖瑚糊鬍蝴胡楛居古鈷枯沽姑固咕估芾菅牯
葉,喋碟蝶牒諜世洩芯葬菜茶藥紲棻蕊蘗菊荀苟茉苯芍
葬,薨髒苛莽苧葉蕨黃蕈蕾薑芸華芣芋荷荊茨莖豆芽嵌丁惜嘩樺曄
葛,暍竭遏渴揭愒喝褐羯碣曷謁噶意莫慕募幕墓蔓暮摹蕞昔藹
萼,愕鍔胯垮誇跨巖鄂儼嚴雩襄囂顎釅簞誇囊靈污圬
萵,窩過渦堝鍋禍蝸滑菩菜茗苔骨猾亂撾蒿蒙啻苜迥炯朋
葡,莆芍匍蒲芾甫芯補脯鋪浦捕埔圃哺荀苟薄荸怵
董,腫湩鍾種慟踵懂重衝動茱蒐萸芹蓮葷蔥蕃薰裡千
葩,芭藐扈鉑梔迫柏泊拍怕伯笆篁白巴腺遑煌嗥湟棉惶粕錦浥珀帕
葭,遐煆暇假霞瑕蝦豭芟夜菔寢蓬疫又般浸候侵股沒投
葆,褓藻茶蓓荷荏花保堡荼澡噪燥躁蒼荃呆莓褒苓谷譟
虞,娛蜈誤吳怒弩膚慮虔帑努盧虜虛虐虎處奴駑瘧唬噓句
虜,擄舅膚慮甥盧虔虐虛虎男濾虞廬蘆瀘臚爐鑪處
號,唬琥虎饕噓噱璩侃沉遞彪墟褫據擄遽濾瀘臚爐鑪驢瘧
蛹,蟲通桶湧俑痛誦蚓蛆蚌蜢蟲蛾蜆蛙蛭蛔蛐蚶蛄蚵蚱蚯蛀蚪蚊螞虻蚣蟾
蜓,艇梃挺庭蟲蝦蚓霆廷蟲蜊蜥蜘蝌螂蛹蛙蛀蚱蚊蜈蜂蜢蟾
蜈,娛蟲誤蝦虞蝸蟬蠅蟲蜂蛤蜿蜢蛉蝠蝓蚣蟒蟆螺螳蠔蛔蛄蚊虻蜓蜘蚓吳
蜇,蟲哲蝨誓蠡融蜃閩蚤虺蛋螫蟹蠻蟲蝕蜜蠱搔蛔蛐蛙蜥蛀蚶蛄蚱蚯蛆逝
蜀,濁燭鐲獨觸躅髑歜甲署睪罷鉀鴨胛柙押呷匣閘賣曼狎
蛾,蟲蟻蛞蛛蚱餓蚌峨娥哦俄蟠蟲蛙蛭蛔蛐蛀蚶蛄蛆蚯蚊蚪虻蜂蝙蝗蚣蟋
蛻,脫銳悅蟲稅說閱蚣蛔蛄蚱蠅蟲蛾蜆蛟蛙蛛蛐蛞蛀蚶蚵蛆蚯蚊蚪蚌蚜虻
蜂,鋒烽峰蟲蚌降絳蝙蝗蟋蟠蛾蛛蛞蚱蜈路蜻蛇逢珞蟆飯舨蜓蜊蝦蝌蟲
蜃,蟲脣唇辰蝨蠡蜇閩晨蚤宸脤振娠虺蛋蟹蠻融震螫蟲蝕賑
蜆,視硯現峴蟲覜規覲筧莧覓蛆覦靦覬觀覺蚱蝸蛇蜩蟲
蜊,蝌蟠琍俐蟲痢莉蛛蚱蚓蛾蛞蟋蟲蜓蜥蝦螂蜂蝙蝗
衙,銜衛衍街衝術衡衢桁行征徑徐微徹徵御徘徠徜很徊律徇徉往彿彼得待
裟,娑裘裁依裝製袈袋褽裴裂襞襲鯊衣裳裔沙莎嬝迎
裔,衣依裁裟裘裝袈袋裳裴製裂褽襞襲脫膂肓迎筒衷深探嬝
裙,窘君伊尹佑群郡咿咯初右路鉻略胳珞烙格洛恪襤知蜘癡吝吞
補,脯鋪浦捕埔哺莆圃匍輔誧溥搏膊博傅甫縛賻蒲
裘,裁求裟袋依裝袈褽襞救裴製裂襲衣梂球裳裔毬
裝,奘裁依裟裘裴裂袈袋製褽襞襲衣裳裔玷玟琥斑璃琉嬝迎坊坑瓖
裡,鋰浬娌埋哩俚裡理狸裸袖鯉嘿童黑貍由喱量墨黛
裊,鳥梟島白亡皎鳴嬝鉑鳩鳶鴃鴣鴨迫泉柏鵑泊拍怕芒肓鵲鵬杗忘伯忙妄
裕,浴峪俗容豁谿谷鎔溶熔榕欲卻蓉腳順褓慾鉛鈉錐壑
裒,竄鼠舀臼舂逶潟裹衰襄亢衣滔焰啗艘蹈迫遊衷閻褻舊舅臾身諂造陷稻
覜,規峴蜆硯現視頫覦靦覬覲筧覓莧觀覺見窺兆攪
解,懈邂貂招蟹賴迢炤昭沼初叨挈奐勇分詔超絕韶紹切刀盆忿券岔
詫,詰誼計託誌詁試詼詣詔詆認誡誥訟談諉諂諜謂詢詐許訐訕訑訊訃
該,訃咳詨註訪謫詐誰諛許訥訕託核計垓諒誶諳識讓謎
詳,謙謹詢註誚詁詛詐訥許課誰訣討訕訊託訑訏記訐諶計訃訂謀諾謨譜
試,詆誡誌認訟諮詰詼詮詫詩談請誼謀諜謂識誠詢誧詠詛討訕訑託訏訐計
詩,誌譆讀謝討誡訟詰詼詮試認誥談諉諍謀諜謂識譙譟註課訣誰訕訏訑計
詰,詫誼詁計誥詔詻語諮譟詼誌誡誤訟諒談諾謂試詩詣詮認諄請諉諂諍誶
誇,詼胯垮跨試詰詭詮誌語認誡詔愕誼談請諉諍訟謀諾謂鍔謨誑
詼,談誇譙詰誌誡訟諒謂諾謨詫試詩詣詮詻認誤誥詔誼請諉諂諍設訖謀諜
詣,諧諳譜識訛訕詫詰詼詔誌誡誥談諉諂訟訖謁謂謨詢詐託記計訃
誠,詐詠誧訪討訕託記計訃誡詳話誅詢詬註詞詁詛訴誚課誰諛訣訥許訢訐
話,誅詬詁詐託訴諛許訢訐訊訕計訃誥詳誠詢註評詞詛訶誚誧課誰訪訣訥
誅,話詐硃託詬詁訴課諛訣許訢訐討訕訊訏訑計訃諉
詭,記脆桅跪諂訖證譫訕訊詫試詩誇詼詣詮詰詻詆詔誌語認誡誤誥誘誼諒
詢,訑詳誚詁詛詐註訣訥課誰許討訕託訏訊訐記計訂訃諜
詮,論諭診誨訖誑譙誰訛誌訥許詩詰詼試誡誥誼談請訟謀謂讖註詛訕訏訐
詬,訴訢話詐託誅詞詁詛訶諛訐訕訏計訂訃誥詳誠詢誣誚註評課誰訪訣訥
詹,簷澹擔膽簷磊瞻蟾譫贍言閤答礬銅訾蘑譽筒石逼減喊這逗胴桐洽洞
詻,誥設咯詰詔語諮路鉻諉略胳珞烙格洛恪諷詼賂酪詆誤誘絡諾骼譟話誅
訾,些磊言柴貲紫詬詞訕計訃譫齜詹閤答礬齧疵詳詼詢詰誌誡誚註詁詛詐
詨,訃謫註該訪訣訕計詳詢誚詁詛詐訴課誰訥許記討訊託訏訑訐謙訂詼諒
豢,豳豚逐豕券據豬噱遽邃卷豭璩眷拳半叛判篆墜煬隊揚喙
貊,貍豺豹貂貓貉奭陌佰霾弼墾懇百解宿梔刀貌脾脹脈射洹初叨切彩衫迢
貉,貂胳咯鉻略烙格洛恪賂路絡駱骼珞詻酪貓豺客
賊,賤貽賻貯貝貶賠贈贓賄貼賭敗財則賂賒賜購贖賬販賺
資,恣姿咨瓷貴責貨員側賈貲賃費貸貫貢贅贊鋇賀買貿賢質贗廁賡狽
賈,價栗要粟費貴買責貫貢員覆資貲貿質貨贊遷鋇
賄,敗貝貼販賭財賬賺賊貽賤則賅賑賂貯賠購贈鋇貶賒賜賻贖員
貲,貸貨貴責柴員惻貫貢贊鋇資賈賃費賀買紫些狽
賃,貨員贊貴貸責貫鋇狽資貲賀買費貿貢贅贗側賈賢質廁貝測惻濺
賂,販鉻咯略胳烙格洛恪路骼珞貉詻酪貽絡駱客賠閣
賅,核垓咳骸該貼駭孩閡氦敗財賠貝賄賑賬販賭賺劾賊賂貽貶賒賤賜則刻
跡,趾跤躋蹄足跟距跚跛踫踝趺趴蹼躂亦弈奕跦跼跋跑跌踞踵蹕跺跪跆踐
跟,足距跚趺踝趴躋踢踏跤跦跼跋跑跌踫踞趾蹕蹼跆踩踐
跨,胯垮誇愕鍔萼跪踴蹉足跺跆跎踢踏踩踡踐蹄踱蹂踹蹋蹈蹊蹣蹦蹟蹲躇
路,咯酪鉻略胳珞烙格洛恪賂詻絡骼貉駱閣客咚各
跳,佻逃桃洮挑姚眺晁窕趾兆蹶足踟躑趺趴蹤蹴躂跡跟距跚跑跌踝蹼躋跪
跺,踩蹂跦跌趴足躲跎跆踏踐蹈躁跛踝踵跪踢踱踴蹉蹣蹦蹬蹲躊躪跟距跚
跪,脆桅踡詭踴蹂蹬躊足危跨跺跎跆踏踩踐蹉蹦蹟蹶蹺呃距
跤,跡趾咬躋鉸校姣傚足跟距跋跚踫踝趺皎趴狡蹼蹄躂
跦,侏踵跌趴銖踝硃株跺足跟距跚踞趺珠蹕躋踩蹂茱
躲,躬身跺躺朵軀毀役窮殿殼穀般殷段股投肌楓麂咒冗亢
較,轟鉸校軌姣咬軋車軸軟皎軒軏鮫狡轍輊跤軻軼輔蛟絞輥軔
載,轟庫軍輦連陣褲範車輩軋轉囀惠栽哉蓮葷暈運暉軸漣渾揮軟軏軒軌鏈
軾,轟拭軛輻輔車弒輕軏軒軋試輪輯輸輾轄轉轍轔輊軸軻輥軟軔軌
輊,轟室軻軒軏輛姪軋軛輻車輔軸軟軔軌窒屋較軼蛭絰輥軾輕耋
辟,僻避薜癖辜闢鋅梓辭莘宰霹辯辦辛壁臂檗擘辨瓣辮劈薛蘗
農,儂濃噥膿穠曹曲尊甚辰戡湛堪澧佞脣晨宸唇斟脤勘振娠禮
運,暉渾揮琿輝葷暈轟漣鏈蓮軍褲連攆鰱車軋庫遙軸軟軏軒陣軌輞載輦
遊,游享旁芳房漩肪枋妨坊仿防瘀菸方訪淤舫紡倣彷
道,首導自遁逆洎咱算臬眉省送迸楣湄媚鎳邊篡遂備狽遘目筧戛苜纂
遂,燧隧送逆迸立萄芯道遭達進惟迭泣拉垃迆位遘竭遵邁避辛卜意笠荀音
達,撻躂韃羋羊主烊洋咩佯逵差庠遂詳進祥逆送迸迭鮮柱注拄坩住搓嵯嗟
逼,福幅蝠輻富逗逕擋噹檔襠鐺匐言遣這副詹蔔違遷脰謂課逅迺迂石上同
違,偉幃緯韓葦圍闈韋拿韜韌笨苯這諱缽本吾逼遣逗梧晤捂悟唔衛圄
遐,煆暇假瑕蝦葭豭霞夜候設般浸侵股沒投又疫芟
遇,偶寓隅耦邁禺愚癘藕遝還萬迴禹厲懷壞邏甲巾
遏,暍渴揭愒喝褐竭碣羯謁葛曷暹噶歇遢退藹惕錫蠍意
過,渦媧堝鍋禍蝸萵窩撾迥滑猾遣造迢迨亂骨高骼蹦朋週炯膏啻
遍,褊偏蝙編篇扁邀盛匾肩楹濫檻襤鑑房籃溢溘溫慍媼塭嗑僱猛淚捩唳錳
遑,煌湟惶隍徨蝗韹篁凰皇迫逛珀旺斑潤班腺嗥銓棉錦栓拴佺鉑柏玨泊拍
逾,偷榆渝愉喻褕瑜蝓輸諭瘉愈途俞倫迄癒淪掄迤
遁,循盾道迫追逅迭近返遍逢目千貫亢逍逆相肺迅沛仟遑楣遞逶湄慣媚造
鄒,雛皺芻鄭鄴郎郁耶邱祁邢邦那鄗郵郾鄙鄘鄞鄱部郭都郡郝郢郊郃邵邸
鄗,敲鄙部郡郃邵郁高鄘鄭郭郢鄴郊郎耶邱祁邢邦那啊
酬,醣洲酸酉酌醜酴酣酥酗配酊酩酷醋醃醮醺酪酵醇醉醒醞醴釀釅
酪,酷酩路鉻略咯胳烙格洛恪醺賂詻酸絡骼酥醜酉
酩,酪酷醋酌酊醣醜酉酵酸銘醇醉醃醒醞醱醮醴醺釀釅酥酣酗配
釉,乎柚悉呼釋鈾袖迪油抽岫妯笛軸宙釆竊鼬蟋由
鈷,枯沽姑咕估針錮古苦居固鋸牯骷蛄胡湖葫詁銨瑚糊做罟
鉗,柑坩甘疳鉼酣蚶甜煤媒虛某錘錯錨嵌鎂謀箝墟噓芣芋
鈸,拔跋紱髮突公犬鋪錢爻畎吠伏鐮鍍松忪鈿猷鈞鈑鉸釵釦釣釩針釙餚鎂
鈽,怖佈希錦布烯晞唏稀滿滯巾帑棉啼錡瞞蹣幣席
鉀,鐸鐲胛柙押呷鈿甲匣狎賣鋰閘曼鏤獨澤濁擇燭曙鏝申薯
鈾,袖迪柚油抽岫妯鏤由笛宙釉軸鏽胄冑鼬釗丫鈿聘娉曳申婁
鉛,沿釦銳船銘鉻鍋鋁谷鍔鎔銻金痲麻裕銨錯錢錡浴峪錨俗鎬鎰鎘鎗松鏜
鉋,袍胞炮泡抱咆砲苞庖跑鮑鉤飽皰包匏雹劬刨鈍
鉤,鉋枸拘佝苟狗鉍鈍釣駒夠齣句雊鈞釦包恭鈿鈷袍針釙胞炮泡抱咆鉛金
鉑,錦迫柏泊拍怕伯白粕珀帕腺泉舶遑煌嗥湟棉惶葩篁
鈴,伶泠拎蛉聆羚玲冷苓鈐齡零鎗令吟侈昤岑銓捻唸黔鑰多今
鉉,炫弦絃眩舷玄畜鑠釙鑲蓄嬤鎬鏍吆以幻玆樂縴爍幼鎚姒鏈似亡麼幾茲
鉍,泌必秘祕鉤鈍釣密鉋鈞錫勿瑟蜜愧怕謐恭鉑鈿鈔釦針釙吻金匆易忽囫
鉅,炬拒巨苣矩距分鋸局凹凸鏗忿岔釁鈿釦針釙侷汾扮吩份鑑鑷金渠盆芬
鈹,被波披坡疲跛皴破玻陂彼詖皺皮鈑皰菠簸頗板
鈿,鉀鋰錮鏍金西曾鈾錨田釦針釙迺曬哂佃僧憎增酋酉窠層
鉚,柳泖聊茆卯卿留溜遛榴瘤御劉迎抑仰貿籀腳孵啣唧餾節霤昂
閘,門閑間閒悶問閃閂閏開閔閎閨閩聞閉闌曼甲鉀胛柙押呷匣
隘,溢鎰縊益阱港陪陸褊陞錳襤鑑阻弔鬨賽隔隕遍溫溘楹慍媼塭嗑隙障際
隔,膈鎘阮鬲陋陌阿隕隋陪除險隱阻弔隘陽隆隍隄隙障際陰陶陷陸院陞降
隕,損韻圓賞嘖員潰遺債漬槓慣價磧賸蹟臢鑽賁匱賡簣
雍,壅擁臃亥甕垓妊核咳閡玄壬亡逞造劾刻氦牽畜賅鄉逵骸孩巡
雋,集焦售隹隻雙崔進椎淮推惟堆唯錐鐫雇截瞿籬奪蕉奮舊藺雉雊稚碓睢
雉,奮雞矢奪雄進椎淮推惟堆唯錐知雊稚碓睢雒帷矩准離雜難仃隹崔
雊,唯碓惟雕雒誰礁進椎淮推堆錐雉稚睢雄帷准雖離雜雛憔譙隹崔
雷,電蕾擂鐳需腮霸憂亙青彙胭儒胛濡懦嚅燸糯苗頁而恆孺優擾蠕灞壩
電,雷蕾擂鐳需霸憂儒濡懦嚅燸彙頁亙孺蠕糯灞青奄而頓頊頌腮煩醃碩頡
雹,苞庖袍胞鉋砲炮泡抱咆跑包飽匏鮑皰劬刨需而儒濡懦孺嚅燸蠕糯
零,霉苓霍雨伶雲霎鈴玲泠拎冷靈雯霄雪霽霆霑霖霜霞霰蛉聆羚
靖,菁晴清情倩睛精猜蜻請鯖青債漬嘖積磧蹟立端績責音妾
靴,鞭仳革花鞦靶訛鞋勒鞘靼鞍鞣毗枇沘批妣韃韆鞅鞠化
靶,靼革鞋勒鞘鞅鞠鞍靴鞣鞦韁韉韃韆肥爬杷把吧鞭芭
預,澦頂頌煩予頑頓頊頒須項頗領碩頡頜頃頰頻頷頭頤顆類顯
頑,頓頊煩項碩頃頂頹頌頡頫頜頻頭頤顆顯預頒頗領須頰頸頷穎題顎顓類
頓,頑噸頌頊煩碩頃頡頂頻頹頤顆顯頒須項頫頜頰頭穎
頊,頑頓頌煩項碩頃頡頜頂頻頭頤顆顧顯頒須頫頰題顛願顫
頒,頃頻頌煩須頤頓頊碩頂頡顆顏顯預頑項頗領頫頜頰頷頭頹穎額題願顛
頌,頓頊頒煩領碩頡頂頃頻頤顆顯預頑須項頜頰頷頭類顛
飼,餌飽飩飲飪餅餉蝕飢餽飴飯餃餓餚餿饉飭餘餒餞餵
飴,餞餒飾飭餘館餡餵饑飼飽餉餅餌飩飲飪蝕餓飢餽
飽,飩飼餅餌餉飪飲飢餽飴餃飯蝕餓餚餿饉餒餞飾飭餘館餛餡餵饅饒饑庖
飾,飭餘餒飴餞飲館餡餵饅饒饑餌餉餅飪飩蝕餚飢餽
馳,駒馬馱馭駐駟駛駢駁駙駭騙駝馴駱騁駿騎騷騵驃騾驕驍驛驗驟驢驥驅
馱,駁騎馬馭駛馳駐駟駒駢駭騙駝駱馴駙駿騵騾驕驍驗驅
馴,駛馱馬駙馳馭駐駟駒駢駁騁釧圳駭騙駝駱騎騷騵騾驍驛驗驥驅
髡,髦髮髯髭鬆鬍髻鬃鬢鬚鬣元須軏兀衫杉箄疹完彬彩虺彥顏阮沅形彤
鳩,鳴鴣鴨鵑鵲鴆鴒鴿鵝鵠鶉鵪鶴鷓鳶鴦鴉鵡鷗鸛鴛鷹
麂,塵鏖麋麝麒麟麓鑣麗鹿毗皆冗亢庇躲儷灑比邐欐曬
鼎,目睛睫眼眶眠眩瞞盯瞿纂睦睞睹睬睜睥睢瞄睽睡睏瞎瞇瞋眸眺盹瞰瞧
鼓,豉芰彭吱瞽肢枝技岐妓鼙歧樹廚鼕澎膨支喜僖嬉嘻熹
鼠,竄鼬裒臼鼴舅鼯舀舂閻舊亡滔焰陷稻潟樁啗舉芒肓杗忘妄與臾身諂餡
僧,增憎繒贈層曾倡儈醋借僭嘈漕槽遭偺俗份鈿會鹿
僮,憧撞潼鐘幢瞳倍童億位俚漳暗樟喱噫憶焙培接涪臆陪黯垃拉泣笠昱
僥,嬈撓澆曉橈燒蹺鐃繞蟯饒驍堯珪佳僖儔侍仕圭
僖,嘻嬉禧譆喜熹僥儔侍仕售倍桔拮嘉僱遠催噎結檯黠鼓倖佳周吉
僭,潛簪既蠶倡概慨溉暨儈偎借佞僧儉偷倫佺仁佰
僚,嘹撩潦暸燎遼繚寮療瞭佑傻倚俺俟佐佈侑仇剎
僕,蹼噗撲樸璞濮供佯併共僎借俗僅備烘哄拱洪偌基異恭谷
像,橡豫像你仔億俑伋仍乞們佰伯佝伕他代仇傑侯侈健
僑,嬌橋矯轎驕喬槁犒搞稿鎬篙蒿嵩縞吞添舔祆妖沃笑奏
僱,雇偏作催邀摧璀褊遍暹唳捩淚懼昨柞炸咋妒倣匯笮籬
僎,撰潠選巽起巷供圯哄祀共巳戴糞保侃僕烘拱洪冀基異恭
僩,們閒嫻澗燜捫門憫潤櫚攔瀾欄爛簡閃擱倩倡佾但斕閥悶閑間問閂藺蘭
兢,克剋兄況侃鴣祝咕嗅競古宮兗鈷稅詁舐故枯牯胡姑沽估熄舔媳楛唬沉
凳,登嶝澄橙燈癸瞪磴蹬痘豈合鄧凱證盒拿豐灸久短脰逗
劃,剷副釗剌刷到刑劃刖列刊刈劂劍劊剽劑割剴剩剖剛剝剎剃削則刮制剁
劂,刑劍劇剛刻刪刊厥劃劑剴剩副剖候釗剎削剌則到制刺利刨判列劃刖刈
匱,潰遺簣貴槓嘖漬債貢圓櫃磧積頤損賡隕賁績貧蹟
厭,壓魘靨饜盟瘓百明奧奐厚煥噢喚懊換澳渙燠襖
嗾,鏃簇倣族淤瘀菸漩訪放枋肪坊妨仿房芳游防於旁
嘀,嫡摘滴適鏑謫咬商六唷嗚咳啼嚎啃吭嚨噗詨哺哨哂哄咱咀吶吐滾嘴噓
嘛,麻摩唆唉哺嬤朮麼痲麾磨糜蘑魔述怵賊絨褲礦吠靡戎
嘗,嚐當掌棠裳賞常黨尚堂稽肖噹叱旨膛擋敞敝檔脂削炯襠鏜鐺
嗽,漱簌喇掀嫩吹撳速悚欣柩懶瀨獺蠍辣束久嶔羨嵌崁茨
嘔,嫗嶇樞軀奩驅區品噪操橾櫺闆歐甌鷗毆喔呢囑叵咖
嘆,漢攤灘癱歎艱難嚥噗哄咩哎嘈嗟噶嘶剴庚豆嗶嘯唯呻呷聽呎吹吶吐叫
嘉,喜熹茄咖加臺袁吉痂嘻哎迦伽荔架僖嬉壹豆另禧叵叻
嘍,摟樓褸鏤屢簍縷螻髏呻婁屨砷呷申坤伸嘯哽神
嘎,戛廈夏咱噢自嗅賤眸呃洎算篡臬眉省嘖楣喱媚湄唔鎳首員纂
嗷,傲遨敖邀倣唉熬做嫩撇撒橄激檄擻繳攸放埃聱贅鼇
嘖,磧漬債積蹟績責損潰遺槓隕匱圓簣嗉賸韻賞員
嘟,都諸褚楮堵渚箸暑著奢屠哪睹署儲緒賭者藷豬赭煮
嘈,漕槽遭糟噥曹曲儂撙樽濃澧遵唱膿蹲嗜禮穠哎體蛐
嘐,僇膠穋謬繆寥廖擢濯曜櫂躍摺褶耀嗡翟習羿榻煽遢塌翰蹋瀚翠蓊翼翌
嗶,蹕畢哩咽呷卅喃喟嗯嘿嘩喂嘆噗啤哺哂哄咩味咕呻吱吐噹幸辛口當單
團,傳磚轉專糰栽撙博樽遵狩府囀寸奪榭膊廚搏溥蔚傅等蕙褥痔穗符時特
圖,回砧占圓惦嚎哼嚷店拈沾佔乩霑點站玷帖京豪諸貼儲逞黏高品亭亮藷
塵,鏖麂麋麝麒麟麓鑣麗鹿毗庇陛比昆屁能枇妣儷批沘仳灑曬欐邐
塾,熟孰墊享墩敦惇淳郭壑廓丸槨燉爹亨諄醇鶉汍
境,鏡竟培垃璋暗漳億樟噫憶臆黯幛獐障瘴音焙諳接涪蟑倍競意章
墓,莫慕摹暮幕募驀昔寞葛蔓蕞萌摸漠模膜糢意冪厝藺草音芭錯惜措蟆借
墊,摯執塾丸孝堵汍墅圭爹軌勢熱痛麥究多宛夷夕丈九哮鐵
塹,暫鏨斬嶄慚漸斤圻芹昕析近聽折沂匠堊斧斯晰淅逝浙斫祈所欣
墅,野序予杼妤抒多疇墊夥預舒豫栘侈歿型圭墨爹矛澦移埋矜
塽,爽爻堵垮土痍美餚圭塊鈸堆淆鎂埋埂垠垃坩坡拔圾坎壞坍地圯圩崤埃
壽,燾籌儔濤檮疇鑄禱芸躊云云紜耘坎虱至蟲堠弼強蚓冽
夥,栘移侈爹多令銘酩矽汐麥茗宛夕夢舞苑橘夠杼舛外果名
夢,甍蔑薨蘿寰篾遝澴還爹爵環茗夥楞愣移栘侈儸鰥囉玀邏鑼
