汉字	同音同调	同音异调	近音同调	近音异调	同部首同笔画数
贴	帖	铁餮帖	爹	碟跌耋牒迭蝶绖谍喋叠	费贷贮贸贻贰贬贲买贺贵
贰	二	儿而迩饵耳尔洱			费贷贮贸贴贻贬贲买贺贵
贻	咦姨饴疑怡谊𫍙迤蛇栘移彝夷遗沂圯胰仪宜一痍颐	漪蚁艺屹肄轶刈谊呓迤缢以逸佾已溢劓医疫噫乙懿镒毅揖义迆邑亿液役佚易羿倚尾弋裔蜴椅壹驿弈旖译帟翌异益偯臆亦艾腋曳咿议诣意伊绎忆掖浥翳矣奕一翼抑衣依			费贷贮贸贴贰贬贲买贺贵
贲	弊璧必敝铋薜哔痺箄襞避臂毙庇毕俾愎陛碧泌鄙跸篦蔽诐埤辟闭弼婢秘奔比壁睥币裨	畚笔鄙匕笨苯沘妣彼本逼比鼻	傍帮崩邦梆绷	蚌傍绑棒旁迸榜甭膀蹦谤镑磅	费贷贮贸贴贻贰贬买贺贵
费	痱废屝芾肺沸怫吠	菲斐肥翡非腓妃飞扉诽啡霏匪		嘿黑	贷贮贸贴贻贰贬贲买贺贵
贺	吓郝和喝鹤暍荷赫	盖诃盍荷貉禾曷盒阂褐合呵嗑合郃河和翮纥喝阖核劾何涸			费贷贮贸贴贻贰贬贲买贵
贵	桂鳜跪柜	鲑皈规傀鬼闺龟圭癸珪轨诡瑰晷归	匮愧餽喟篑溃	夔葵窥睽盔亏魁揆傀奎逵	费贷贮贸贴贻贰贬贲买贺
买		迈脉霾麦卖埋			费贷贮贸贴贻贰贬贲贺贵
贬	褊扁匾	遍辩辫辨卞弁编蝙边变汴釆鞭砭便			费贷贮贸贴贻贰贲买贺贵
贸	懋貌帽瑁茂耄冒	髦泖锚毛茆卯猫茅矛		眸某缪牟谋	费贷贮贴贻贰贬贲买贺贵
贷	迨大黛怠逮岱待玳带殆代戴袋	逮待歹呆	泰汰态太	苔台苔抬台跆胎台台	费贮贸贴贻贰贬贲买贺贵
越	粤岳耀阅悦跃月乐钥刖𫐄岳药曜籥说玥	曰约			趁超
超	勦钞剿抄	潮巢朝嘲吵炒晁	抽糙操	嘈溴绸鯈惆操酬愁辏曹俦丑糙丑稠仇草畴凑槽筹踌臭裯漕	越趁
趁	谶榇称衬疢	晨谌尘宸陈娠忱琛臣瞋辰沉沈	称畅倡怅唱秤	场长倡猖苌敞藏涔尝撑诚城程承曾氅骋盛参层尝徜称呈常岑澄裳肠伥乘昌鲳丞惩偿仓橙娼舱瞠沧成厂苍逞嫦伧	越超
跎	驮陀沱鸵佗驼	唾脱椭拖柝妥托拓托	铎夺多	堕驮咄度剁踱跺惰舵躲多朵	跌距跚跋跛跆跑
距	炬苣飓惧具巨踞瞿巨倨剧遽屦俱聚据句锯足拒	莒咀举桔疽橘蛆跼车驹俱拘狙局掬菊局锯沮鞠居龃矩	叙去恤畜娶洫絮蓄酗婿趣恤漆绪顼勗续旭序	取璩许徐圈须砠煦曲区需渠驱咻嘘趋岖墟胥娶劬曲瞿吁戌蛆屈须龋訏蛐躯虚衢栩	跎跌跚跋跛跆跑
跋	钹拔	把靶伯笆吧杷芭霸耙叭疤坝巴扒爸捌罢琶八灞			跎跌距跚跛跆跑
跚	扇姗縿删山舢煽杉衫膻珊潸芟	鳝扇膳禅擅疝讪缮汕赡煽善闪单陕	三参	伞散糁	跎跌距跋跛跆跑
跑		泡疱炮咆抛砲庖刨袍匏	剖	剖裒	跎跌距跚跋跛跆
跌	碟耋牒迭蝶绖谍喋叠	爹		贴铁餮帖	跎距跚跋跛跆跑
跛	簸	亳荸搏般帛簸薜卜伯博脖勃菠舶剥泊铂膊擘渤箔薄玻拨驳播檗白蘗钹钵柏			跎跌距跚跋跆跑
跆	苔台苔抬台台台	泰苔汰态胎太		迨黛大贷怠逮岱待玳带呆殆代戴袋歹	跎跌距跚跋跛跑
轲	窠科柯刻颗蚵苛瞌稞棵蝌磕	嗑课客恪溘坷渴克髁可咳喀壳缂克刻	搁割胳哥歌戈疙鸽	郃各咯格骼个镉蛤个铬革隔阁膈合鬲葛	轴轶
轴	妯竹术筑筑烛竺躅逐	周注朱绉茱粥宙铢嘱属肘周煮住渚铸助伫蛀拄𫉄胄纣朱诛舟蛛啁猪皱州洲祝珠主胄帚杼苎柱诸瞩侏昼箸贮咒驻注籀株	著卒凿足族嗾	皂鄹澡遭昭肇骤炤蚤造枣著赵照灶找燥钊棹诅朝噪罩藻邹沼俎爪糟奏组诏晁陬召揍噪招走兆租祖嘲早啁躁阻櫂	轲轶
轶	屹艺肄刈谊呓缢逸佾溢劓疫懿镒毅义邑亿液佚役易羿弋裔蜴驿弈帟译翌异益臆亦艾腋曳诣议意绎忆掖浥翳奕一抑翼衣	漪尾咦姨椅壹蚁饴旖谊偯迤栘移以彝夷已遗沂宜咿医颐伊噫疑乙怡贻揖𫍙迆蛇矣圯胰仪一衣痍倚依			轲轴
辜	菰咕孤鸪钴沽估姑呱蛄家	凸鹄雇罟贾鼓谷顾估雇故毂股告谷滑牯蛊瞽锢古诂钴固骨	骷窟枯哭	苦库楛裤酷	
逮	迨黛大贷怠岱待玳带殆代戴袋歹	迨黛大贷怠岱待玳带呆殆代戴袋歹	泰汰态太	泰苔台抬汰跆胎台台太苔台态	逸进周逶逵
逵	夔葵睽魁揆奎	匮愧窥盔餽亏喟傀篑溃		鳜跪鲑皈规傀贵闺桂鬼龟圭癸珪轨诡瑰晷柜归	逸逮进周逶
周	粥舟周啁洲州	胄帚轴妯绉胄纣宙昼咒肘皱籀	钊鄹遭朝昭邹糟晁陬召著招嘲啁	皂澡肇骤炤蚤造枣著赵照灶凿找燥棹噪罩藻沼爪奏诏晁召揍噪走兆早躁櫂	逸逮进逶逵
逸	屹艺肄轶刈谊呓缢佾溢劓疫懿镒毅义邑亿液佚役易羿弋裔蜴驿弈帟译翌异益臆亦艾腋曳诣议意绎忆掖浥翳奕一抑翼衣	漪尾咦姨椅壹蚁饴旖谊偯迤栘移以彝夷已遗沂宜咿医颐伊噫疑乙怡贻揖𫍙迆蛇矣圯胰仪一衣痍倚依			逮进周逶逵
进	觐缙浸尽烬晋噤近禁仅劲尽	馑金矜紧津仅禁尽筋襟觐觔斤浸谨瑾锦巾今	竟靖信彊芯罄降劲静径磬橡巷沁绛酱性兴庆幸像痉竞亲净向镜匠幸乡杏呛敬衅揿悻象姓将项相向迳境强	青彊祥馨降情倾镶浆陉兴新亲形疆惺乡呛氢璟香想硎清欣江腔擎蜻更擒鲭𫄶型旌钦僵湘鲸勤荆憬蒋瓖辛寻阱腥将请相强鎗邢墙泾颈枪心粳芯精秦羌刑噙厢省琴缰奖䜣芹茎醒饷响莘讲星经桨顷抢昕惊景锌睛详襄锵姜警蔷行翔禽兢侵享檠晴樯晶京井卿寝庠菁轻薪嵚戕姜飨猩箱	逸逮周逶逵
逶	威崴煨萎偎委	尾娓魏卫胃蔚维痿纬萎未韦唯遗惟渭潍围桅为味稣薇喂帏伪苇慰位危伟洧谓帷鲔微巍褽尉喂闱畏猥诿违委			逸逮进周逵
鄂	愕詻鳄遏俄轭哑噩恶呃锷颚扼饿厄垩萼	额俄蛾哦婀讹娥阿峨鹅蚵			乡邮郾
邮	铀游犹猷疣游尤油鱿由	幼幽黝攸鼬诱悠宥右柚牖祐有侑莠友又酉囿佑优忧釉	洮淆崤谣榣瑶侥肴姚遥肴窑尧摇爻	邀要哟耀夭咬吆鹞杳舀腰乐窈么钥药妖拗曜	乡郾鄂
乡	湘像襄向镶橡瓖厢巷象香箱项相向	祥详襄降翔镶橡巷厢享饷响像湘向庠瓖象飨香箱想项相向	信心彊烬芯馨降筋缙浆进缰䜣酱巾新津噤莘尽匠疆觐斤近昕今欣江锌矜姜劲襟觔绛僵尽金晋禁仅薪浸辛姜衅将强	信彊心烬馨芯降筋缙浆谨进缰奖酱䜣巾新噤津尽莘匠疆觐斤讲桨近锦昕今欣江锌矜姜劲襟觔瑾绛僵尽馑金晋紧禁仅薪蒋浸辛寻衅姜将强	邮郾鄂
郾	鼹衍魇掩偃兖眼俨演	艳阎癌堰焰谚烟雁簷验湮腌赝咽艳殷砚岩炎晏延研妍咽奄彦烟簷胭沿燕盐腌餍颜酽筵岩厌严淹燄言焉嫣宴唁			乡邮鄂
酣	蚶和鼾	憾悍旱颌含函韩汉干汗颔涵銲翰撼罕捍瀚喊寒焊	番蕃繙翻幡帆	泛犯范泛梵矾贩反藩泛蕃樊墦凡饭烦范钒繁返帆	酥
酥	苏苏苏稣	塑肃粟诉素俗蓿簌宿缩速嗉溯夙	殊抒橾疏蔬书输枢舒梳	树叔塾菽术淑赎黍恕属述漱竖束熟数庶鼠倏𫉄戍暑孰薯蜀墅疏署曙	酣
量	谅梁晾粱良粮凉辆亮梁	谅梁俩粱魉良晾粮两凉辆亮梁	痳霖麟鳞娘您蔺林娘邻燐淋磷吝躏酿辚遴临赁琳璘	霖痳麟鳞娘您蔺凛林邻娘燐淋磷吝懔躏酿辚遴临赁璘琳	
钞	勦剿超抄	潮巢朝嘲吵炒晁	抽糙操	嘈溴绸鯈惆操酬愁辏曹俦丑糙丑稠仇草畴凑槽筹踌臭裯漕	钝钧钠钮𫓧钤钙钣
钮	扭纽忸	妞拗牛	铆柳了暸鸟瞭嬝袅	尿刘廖缭聊潦流料疗辽馏硫六留寮泵琉浏寥撩瘤溜霤僚嘹燎遛陆榴瞭	钝钧钠钞𫓧钤钙钣
钙	盖丐溉概	垓改赅该	咳愒忾慨	恺开剀楷揩凯慨岂	钝钧钠钞钮𫓧钤钣
钠	纳那呐讷娜捺	那拿哪	蜡剌腊辣落	喇拉剌邋啦	钝钧钞钮𫓧钤钙钣
钧	龟军君均	隽窘浚郡峻骏濬俊蕈菌竣	熏凶勋兄薰汹醺匈勋穹胸凶	汛巡浔炯窘徇迥雄裙潠驯询璿巽蕈殉群琼循穹训迅逊穷讯寻熊荀洵旬	钝钠钞钮𫓧钤钙钣
钝	炖囤吨顿盾沌遁盹	蹲趸墩敦惇盹	褪胴洞栋冻动痛恫恸	铜桐僮东豚冬冬潼屯筒臀统懂饨瞳同囤峒董桶彤恫吞通童咚	钧钠钞钮𫓧钤钙钣
钤	干箝虔潜前黔钱钳	签欠阡嵌仟堑纤遣歉倩愆铅骞千谦浅迁牵搴千签谴		件剑见缣鞯毽渐囝简笕减肩建碱睑坚饯鉴鉴涧贱捡拣俭煎笺槛健僭兼舰奸歼奸谏艰柬检溅践监箭间闲尖湔荐腱剪键茧菅缄荐	钝钧钠钞钮𫓧钙钣
𫓧	孵趺麸肤敷伕夫	氟缚匐馥覆附俯复夫𫖯蝠绋扶甫芾幅绂袱赙傅付拂涪抚斧赴莆佛服脯赋芙俘讣富府腑腐阜孚弗辐福浮腹伏符菔副复釜怫妇辅咐父负驸	惚乎戏呼忽	瓠壶胡蝴鹄琥许斛唬户沪沍楛护狐互胡湖囫葫扈虎弧瑚糊	钝钧钠钞钮钤钙钣
钣	板舨板阪版	搬般瓣拌斑扮颁办瘢姅绊班扳半伴			钝钧钠钞钮𫓧钤钙
闵	闽渑悯敏抿愍泯皿湣	岷玟民		瞑名螟酩明命茗冥鸣铭暝	开闳闰间闲闲
闰	润			荣绒镕蓉茸溶冗熔戎容融榕嵘	开闳间闲闲闵
开	揩	恺剀楷咳愒凯忾慨岂	垓赅该	盖改丐溉钙概	闳闰间闲闲闵
闲	嫌娴舷衔闲弦啣咸涎贤咸弦	僩纤岘馅显限苋铣暹籼癣现险霰腺祆姗羡鲜宪仙献蚬陷掀县先线藓		件剑见缣鞯毽渐囝简笕减肩建碱睑坚饯鉴鉴涧贱捡拣俭煎笺槛健僭兼舰奸歼奸谏艰柬检溅践监箭间闲尖湔荐腱剪键茧菅缄荐	开闳闰间闲闵
间	件槛笺剑健僭见缣舰兼奸渐鞯毽谏奸歼艰溅践箭监闲肩尖湔荐腱键建坚饯鉴鉴菅涧缄贱荐煎	件剑见缣鞯渐毽囝简减笕肩建碱睑坚饯鉴鉴涧捡贱拣俭煎槛笺健僭舰兼奸歼谏奸艰柬检溅践箭监闲尖荐湔腱剪键茧菅缄荐	签欠僩纤岘馅堑倩限苋愆铅千迁暹千签籼现霰阡腺嵌祆姗羡鲜仟宪纤献歉仙蚬骞陷谦牵掀搴县线先	签干纤岘馅涎黔倩限苋铣舷暹衔啣千钤籼现嵌祆羡鲜仟咸纤仙歉献骞陷虔谦搴牵县贤钱欠僩前堑遣显嫌愆铅千箝迁签谴钳咸癣娴险霰阡姗腺闲闲弦宪弦蚬潜浅掀先线藓	开闳闰闲闲闵
闲	件槛剑健僭见涎舰嫌渐毽舷谏衔啣溅咸娴践监箭间闲弦咸荐腱建键弦饯鉴鉴涧贱贤荐	纤岘馅缣限苋渐鞯铣囝暹简笕减籼现祆鲜肩羡献仙碱睑坚陷县捡拣俭煎笺僩兼奸显奸歼艰检柬溅癣霰险监姗腺间尖湔宪剪茧蚬菅缄掀先线藓	现欠僩霰岘腺馅羡堑纤宪献歉倩限蚬苋陷县线	签干剑见缣黔渐舷囝暹简钤减笕祆嵌鲜纤睑坚鉴虔鉴贱捡贤拣钱僭舰遣铅奸谏迁艰柬签钳咸阡监弦尖荐湔腱键弦茧蚬潜掀藓件纤涎鞯毽铣衔啣千籼肩咸仟仙建碱骞饯谦涧搴牵俭煎笺槛健前兼奸嫌显愆箝千歼检溅谴癣险娴践姗箭间闲剪菅浅缄先荐	开闳闰间闲闵
闳	讧泓弘黉洪宏红虹鸿	薨烘哄哄汞轰	馄珲混浑魂	荤辊混昏浑婚	开闰间闲闲闵
队	对碓兑	堆	蜕退	腿颓推	陲隍阶隋隄隅隆阳
阶	揭皆偕结街嗟接	捷芥拮桔截诘节杰桀疥藉诫孑颉碣姊劫栉解羯讦竭戒睫界撷结洁借姐杰介届	歇蝎切些	携蟹协切邪斜骇惬挟懈妾窃燮谐伽鞋楔泄颉血绁胁邂榭屉解写泄屑怯卸械且泻谢亵契偕撷挈茄锲勰	陲隍队隋隄隅隆阳
隋	随	谇穗髓邃隧绥遂碎岁睢燧祟虽	谁	蜕税水说睡	陲隍阶队隄隅隆阳
阳	烊钖佯扬疡洋飏羊杨徉昜旸炀	泱养仰鸯怏殃央秧痒样漾恙氧鞅炀	垠夤吟银鄞龈淫簷寅霪	瘾听胤印饮因尹茵音湮姻阴縯慇氤荫殷隐引蚓	陲隍阶队隋隄隅隆
隅	盂妤娱榆愚鱼逾禺舆愉褕竽蝓雩渝觎腴渔臾于谀圩余余瑜俞予欤萸于虞	瘉滪域瘀宇驭狱峪昱燠雨预迂语纡与煜龉欲噢芋育俞堉郁豫羽毓裕御吁妪敔喻玉欲圉誉禺禹熨屿愈寓愈谕圄御谷郁淤遇庾聿尉予浴	吾亡诬无毋鼯梧唔巫吴芜蜈	武污鹉晤骛巫侮悟坞误诬务午五乌伍寤戊恶呜妩于物勿怃雾屋舞兀圬钨捂𫐄污垩	陲隍阶队隋隄隆阳
隆	聋龙眬窿笼咙珑胧	拢垄陇	论浓沦哝伦轮脓仑秾侬仑抡农纶	论抡弄	陲隍阶队隋隄隅阳
隍	韹湟磺蝗皇徨凰篁簧黄璜煌遑惶	幌肓谎洸荒慌晃恍	馄珲混浑魂	荤辊混昏浑婚	陲阶队隋隄隅隆阳
陲	垂捶槌锤箠椎缍锤	炊吹		催萃翠璀瘁粹衰淬摧橇悴崔脆	隍阶队隋隄隅隆阳
隄	题堤蹄啼缇提	悌屉体剃嚏剔涕梯踢替锑逖惕	荻镝迪的嘀狄敌犒翟芽笛涤嫡	滴低缔底帝的地蒂第氐牴娣砥递谛弟柢棣邸抵诋	陲隍阶队隋隅隆阳
雁	艳晏研堰焰咽谚彦沿燕验餍酽赝厌咽淹艳燄宴唁砚	阎癌俨烟簷衍魇掩湮腌郾咽殷岩炎延研偃妍兖眼奄烟簷胭沿燕盐鼹腌颜筵岩厌严淹言焉演嫣			雄雅集雇
雅	哑亚疋	讶衙涯鸭呀压鸦亚蚜氩丫轧押煆芽牙			雁雄集雇
雄	熊	凶兄汹匈胸凶	浔巡驯徇寻询璿循荀洵旬	熏汛炯窘隽徇郡峻醺濬迥潠钧龟浚驯勋均骏巽蕈殉薰俊迅训逊军讯君勋竣菌	雁雅集雇
集	棘戢疾击辑寂脊及嫉藉唧急伋吉圾即楫瘠汲吃亟级极籍岌	洎玑羁暨忌肌祭脊己骑芰鸡矶乩剂积几记绩期屐机嵇迹觊纪迹基计妓居冀畸姬畿其寄给犄蓟饥疠际几唧箕麂继挤荠奇讥激季稷髻霁技𪟝稽既悸跻系叽济鲫戟骥饥	歧其淇旗琪齐席琦耆麒棋骑惜习祺脐畦鳍祁崎圻奇岐祇衹期媳祈枝息锡席熄锜袭褶檄昔	携烯嬉膝妻玺洗溪岂绮细碛弃析乞系启器栖讫漆戚迄蟋羲起夕蹊歙气曦淅熹悉愒禧系犀萋汐翕行蜥凄戏稀隙希吸欺徙畦晰兮鳃杞熙汽柒厘矽企喜𫍻谿稽牺亟唏嘻凄晞潟泣西契系憩奚戚砌七缉僖	雁雄雅雇
雇	锢告顾估雇故固	菰凸鸪鹄罟贾鼓谷估呱毂孤股谷滑沽蛊牯蛄瞽咕辜古诂钴姑骨家	库裤酷	骷窟苦楛枯哭	雁雄雅集
雯	文闻纹玟蚊	紊抆刎汶文闻问吻瘟温稳免塭	纭耘云亡佣王匀筠云昀芸	员佣雍蓊涌佣嗡惘甬蛹网用愠忘韵望鄘永慵瓮妄晕酝氲邕俑枉恿往拥踊翁魍勇王孕臃熨罔陨咏涌尢泳运旺庸蕴允汪辋壅	云
云	纭耘云匀筠昀芸	韵允员孕熨运陨晕酝愠蕴氲	文亡闻佣王雯纹玟蚊	佣雍蓊涌刎佣嗡文惘甬蛹网瘟用温忘望鄘永慵紊瓮妄邕问俑枉稳恿往拥踊翁魍勇王闻臃吻罔咏涌尢塭泳旺庸抆汶汪辋壅免	雯
韧	衽刃纫妊认仞饪轫任赁	仁荏稔壬人忍儿任	让	扔瓤嚷攘仍禳壤	
项	乡橡巷像象向相向	饷响祥湘详襄降翔庠乡镶瓖厢享飨箱香想相	信彊尽烬晋芯噤降禁劲仅尽匠觐缙浸衅进绛将近酱强	欣江锌心馨芯矜姜筋襟觔谨浆瑾缰奖䜣僵巾馑金新紧津仅禁尽莘疆觐薪蒋斤浸讲辛寻姜桨将锦昕今	须顺
顺	舜瞬	吮盾	诵宋讼颂送潠	嵩松损榫孀笋松霜崧荪忪孙塽双飧悚怂耸爽淞	须项
须	墟胥訏须需虚吁戌嘘	叙恤畜絮洫蓄婿酗恤许绪顼徐煦勗咻栩续旭序	车驹俱狙拘疽锯沮居蛆	苣炬飓具桔巨巨倨剧遽屦距俱局掬聚据龃咀莒举惧踞瞿橘跼局句菊锯沮足鞠拒矩	项顺
飧	荪孙	损榫笋潠	双嵩松孀松霜崧淞忪	吮宋讼送塽舜诵悚颂怂盾耸爽瞬顺	饮饭饬饪饨
饪	衽刃纫妊韧认仞轫任赁	仁荏稔壬人忍儿任	让	扔瓤嚷攘仍禳壤	飧饮饭饬饨
饭	贩泛泛犯范梵泛范	繙矾番反藩蕃墦樊凡烦翻钒返幡繁帆	憾悍旱颌汉汗颔銲翰撼捍瀚焊	含函和韩干汗涵蚶罕鼾喊寒酣	飧饮饬饪饨
饨	囤屯臀豚	褪吞	瞳铜同潼桐峒僮童彤	钝蹲栋惇东恸冬冬洞筒墩动懂沌统囤董桶痛恫顿遁炖胴通趸吨冻盾盹敦咚	飧饮饭饬饪
饮	胤瘾听印縯尹荫隐蚓引	夤听银尹茵寅姻湮慇殷引瘾胤印鄞因龈淫音簷垠阴吟縯氤荫隐蚓霪	养景郢仰映怏痒应样漾颖恙氧鞅影硬炀	缨佯仰疡洋樱映飏杨羊央秧应萦鹰漾颖恙硬蝇炀烊养迎扬营膺婴嬴昜楹旸氧影阳莹钖罂景郢鸯莺怏徉赢鹦盈英样鞅萤泱殃痒荧瑛嘤璎茔瀛	飧饭饬饪饨
饬	赤炽翅斥啻敕叱	褫尺耻蚩痴呎踟侈匙痴吃栘齿弛持驰嗤池魑迟墀笞吃	赐伺次厕刺	辞疵此祠雌茨瓷词慈磁差	飧饮饭饪饨
冯	缝枰屏瓶坪逢评凭萍平苹	疯峰丰讽奉丰凤乒缝枫锋烽蜂娉风封俸	频恒痕汾嫔坟颦焚濒桁贫横衡	品棻氛吩分恨很份芬狠粪奋拼姘聘纷忿愤牝亨横粉哼	驭
驭	裕瘉滪御域吁妪喻狱玉欲誉禺熨峪昱燠愈寓愈谕御谷郁预语遇与煜欲芋育聿尉俞堉郁豫浴毓	妤娱瘀宇逾褕竽蝓雨雩渝觎迂渔于语纡与噢龉余余俞欤羽虞盂隅榆敔愚鱼圉禺禹屿舆愉圄淤腴臾谀庾圩瑜予萸于	戊晤恶寤骛物勿悟坞雾兀误务钨𫐄垩	武污鹉巫侮吾亡诬无吴午五乌毋伍恶呜鼯妩于唔怃屋舞圬钨捂污梧芜蜈	冯
黄	韹湟隍磺蝗皇徨凰篁簧璜煌遑惶	幌肓谎洸荒慌晃恍	馄珲混浑魂	荤辊混昏浑婚	
黍	数暑鼠薯蜀属𫉄署	树橾叔塾菽术淑赎恕述竖漱书输束熟殊数庶倏枢梳戍孰抒墅疏署蔬曙舒		塑苏肃苏粟诉素蓿俗簌宿缩速酥苏稣嗉溯夙	
黑	嘿	嘿	菲斐翡霏啡匪非妃飞诽扉	费菲痱斐屝肥翡非沸腓妃飞扉诽吠怫废霏啡肺芾匪	
乱		峦卵滦銮鸾		暖煖孪挛	
佣	拥鄘臃邕雍慵庸壅	鄘拥踊泳雍永慵涌庸勇佣甬蛹邕臃用俑咏涌壅恿	云雯翁纹玟筠蚊昀晕氲纭耘嗡文闻匀瘟云温塭芸	员翁玟蓊刎嗡耘文闻孕瘟吻熨陨温愠塭芸云韵雯运纹紊蚊筠瓮昀晕酝抆氲蕴汶纭允匀问云稳免	偬倾催傻伤债传仅傲僇
债	寨责祭	摘斋齐翟窄宅	在再载	仔栽宰哉灾载	偬倾催佣傻伤传仅傲僇
傲	澳懊奥拗	鼇凹熬鏖翱嗷遨媪袄聱敖	呕噢	瓯偶欧区鸥藕殴耦呕	偬倾催佣傻伤债传仅僇
传	赚撰船僎篆转	砖钏啭专舛耑串穿转川喘颛	赚钻	纂爨窜钻篡	偬倾催佣傻伤债仅傲僇
仅	尽馑烬晋紧噤劲禁尽缙觐浸谨瑾进锦近	烬矜劲筋襟觔缙谨瑾进巾尽馑金晋紧津噤禁尽觐浸斤近锦今	竟颈靖信彊芯降静磬橡沁巷省奖酱醒饷兴庆响幸竞亲匠幸乡呛讲揿象璟桨顷想抢项迳境景罄劲警径𫄶享绛性井像痉净向寝镜蒋憬杏敬衅阱悻姓飨请将向相强	青靖彊祥馨降静情倾镶浆橡陉兴幸新亲形疆惺乡呛揿氢璟香想硎迳清欣江罄腔擎劲蜻擒更鲭𫄶型绛旌钦僵湘像鲸痉勤向荆蒋憬瓖辛寻阱悻腥请将相强鎗邢竟墙颈泾信枪心粳芯精秦羌刑磬噙巷沁厢省琴奖缰酱䜣芹茎醒饷庆响竞莘匠幸讲星经象桨顷抢项昕境惊景锌睛详襄锵姜警蔷行翔径禽兢侵享檠晴樯晶京性井净卿寝镜庠菁轻薪杏嵚戕敬衅姜姓飨箱猩向	偬倾催佣傻伤债传傲僇
倾	青轻鲭氢檠晴顷卿擎情蜻清	青庆罄亲卿擎蜻情轻磬鲭氢晴檠顷请清	惊泾粳睛矜精秦筋擒襟更禽觔兢噙侵琴晶旌钦芹京巾茎金鲸勤亲津禁荆菁嵚浸斤经今	竟泾颈靖粳烬精秦筋静缙谨噙沁进琴芹巾茎亲津噤竞尽觐斤经揿璟近锦迳境今惊景睛矜劲警襟更擒觔禽径兢侵瑾晶旌钦京井尽金馑晋鲸痉勤紧净禁仅寝荆镜菁嵚浸憬敬阱	偬催佣傻伤债传仅傲僇
催	崔摧衰	橇萃璀翠悴瘁粹脆淬	炊吹	陲垂捶炊槌锤吹箠椎缍锤	偬倾佣傻伤债传仅傲僇
伤	觞汤商殇	赏晌上裳尚	桑砷信申莘伸呻娠深身森参绅丧	嗓哂审甚渗沈肾蜃沁婶脤神丧慎沈	偬倾催佣傻债传仅傲僇
傻		杀砂杉鲨霎莎裟纱厦煞沙	洒撒	萨卅撒飒	偬倾催佣伤债传仅傲僇
偬	总	踪粽纵综鬃宗从棕	踵准肿冢准冢撙种	盅仲忠众钟肫衷圳终樽俊忪屯谆湩尊中钟遵重种	倾催佣傻伤债传仅傲僇
僇	路露鹿戮麓碌氯鹭陆录穋禄赂	芦卤卢鲁卤掳胪𬬻橹鲈颅炉噜庐虏泸	氯怒绿滤律虑忸率	努弩铝榈吕缕褛膂女奴旅娄闾驽侣驴屡履	偬倾催佣傻伤债传仅傲
剿	较勦饺姣皎狡超脚抄侥缴铰搅角绞钞矫	潮教巢姣窖骄娇焦詨椒交吵醮蕉朝礁较浇跤轿郊晁鲛胶校蛟叫嘲觉炒嚼	九朽巧雀糙悄酒操筿晓玖纠小愀抽韭鹊赳宿灸久	袖嚣哮惆揪箫鸠囚究逍旧舅撬诮疚硝修橇畴瞧傚嗅萧漕桥樵憔酵鯈裘操就笑酬霄龟乔求孝咻曹柩丘丑咎稠草酋凑校锹踌筹裯侨休学绣毬绸溴啾跷修消厩邱肖窍羞峭俦秋秀俏球丑销仇宿槽宵蚯枭嘈鞘救纠削效骁愁辏壳泅嘐梂岫啸臼敲糙锈谯臭潇秋鳅翘	铲剽
铲	谄铲阐产	忏搀禅蟾儳婵巉馋掺谗澶孱潺蝉毚单缠羼	惨	残孱餐惭璨灿蚕参	剿剽
剽	骠漂票	飘缥瓢漂嫖瞟			铲剿
募	穆牧木慕沐幕睦目苜墓暮	母模牡亩拇姆姥			勦勤势𪟝
勦	较饺姣皎狡超脚抄侥缴铰搅角绞钞剿矫	潮教巢姣窖骄娇焦詨椒交吵醮蕉朝礁较浇跤轿郊晁鲛胶校蛟叫嘲觉炒嚼	九朽巧雀糙悄酒操筿晓玖纠小愀抽韭鹊赳宿灸久	袖嚣哮惆揪箫鸠囚究逍旧舅撬诮疚硝修橇畴瞧傚嗅萧漕桥樵憔酵鯈裘操就笑酬霄龟乔求孝咻曹柩丘丑咎稠草酋凑校锹踌筹裯侨休学绣毬绸溴啾跷修消厩邱肖窍羞峭俦秋秀俏球丑销仇宿槽宵蚯枭嘈鞘救纠削效骁愁辏壳泅嘐梂岫啸臼敲糙锈谯臭潇秋鳅翘	募勤势𪟝
勤	擒禽噙琴秦芹	嵚侵沁揿亲寝钦	墙倾彊戕檠晴樯擎蔷情强	青靖彊烬降筋静倾缙浆进津亲觐疆斤呛氢璟近锦迳清江矜罄腔劲蜻更觔鲭𫄶绛旌僵尽痉鲸仅荆浸憬蒋阱将请强竟鎗泾颈枪粳精羌磬谨缰奖酱巾茎庆噤竞尽匠讲经桨顷抢今境惊景睛姜锵警襟径兢瑾晶京井金馑晋紧净卿禁镜菁轻敬姜	募勦势𪟝
势	拭恃式轼适是柿饰奭氏士使视螫弑市示试豉仕噬誓筮室侍世嗜识逝事释舐	豕尸匙湿狮虱使拾诗硕失十虱嘘始埘石蚀实食施时提史师湿尸矢什屎射驶	赐祀泗肆兕食饲巳伺嗣似耜寺驷姒俟四	撕司厮丝斯鸶私思嘶死	募勦勤𪟝
