#汉字	同音同调	同音异调
一	壹	漪
喉	侯猴	候吼厚后
围	为薇维违唯危微巍桅	委卫位喂胃未味威偎慰谓苇畏伪尉遗萎纬蔚伟尾魏
堪	刊看勘	砍坎
场	长偿厂常尝肠裳敞	唱昌畅倡猖
堤	题提蹄啼	剔屉体涕梯惕剃替踢
堰	谚咽淹焰艳宴雁沿验研燕砚厌唁	严炎演颜奄延烟阎殷衍癌盐言眼掩
报	爆暴刨豹抱	褒堡饱包薄雹苞保宝胞
堡	宝饱保	爆包刨暴薄雹苞豹褒抱报胞
壹	揖衣医伊一依漪	夷疑艺肄意抑仪疫异忆翼益奕液毅屹艾已议以倚谊腋邑逸掖椅乙亦义溢遗移役易姨胰宜尾亿译绎蛇蚁矣
壶	狐胡葫糊蝴弧湖	许呼沪互戏唬户乎护虎忽
奠	店垫殿甸玷淀佃电惦	颠典点碘
媚	昧妹	美媒煤每霉枚梅楣玫眉没
婿	叙畜绪恤酗序絮旭蓄续	许徐需虚须吁
媒	煤霉枚梅楣玫眉没	美每昧媚妹
寒	韩函涵汗含	罕旱悍喊和翰撼憾捍焊汉酣
富	附妇赴傅赋复咐父腹负副付	辐浮缚符麸伏拂脯福斧俘袱甫夫敷芙蝠肤抚俯府辅幅服孵扶腐
寓	域裕玉愈尉育誉浴欲芋御狱郁与豫预遇语吁谷喻	逾予雨屿迂于愉渔榆鱼娱舆隅愚羽淤宇
尊	遵	俊
寻	巡旬询驯循	逊衅欣讯薪殉训新辛信勋心锌迅汛芯
就	舅臼旧救疚究	九酒久揪鸠韭灸纠玖
嵌	千迁牵纤签谦铅	干浅潜欠黔谴前钱钳遣歉
幅	芙辐蝠浮福服缚俘袱符扶伏拂夫	妇赴腹麸付脯附赋斧父负甫敷傅咐肤抚俯府辅富复孵腐副
帽	贸冒貌茂	毛茅矛锚猫
几	激绩叽稽给居脊唧机迹基饥箕奇济挤积肌其畸己鸡期讥	纪妓即籍荠吃棘借急记嫉既鲫级集寂及继寄冀吉骑际辑祭季剂击系计技忌圾极疾
廊	狼琅郎榔	浪朗
厕	侧刺册伺策赐次测	瓷此词差雌祠辞慈磁
厢	相箱乡镶湘香	像橡项想祥向巷详享响翔象降
彭	棚膨硼鹏篷澎蓬朋	捧碰烹砰
复	附妇赴傅赋富咐父腹负副付	辐浮缚符麸伏拂脯福斧俘袱甫夫敷芙蝠肤抚俯府辅幅服孵扶腐
循	巡寻旬询驯	逊讯训勋迅汛殉
惑	豁或获货祸霍	活和伙火
恶	愕于务雾巫诬悟乌屋俄扼噩勿遏饿鳄晤误物坞呜污哑	阿蜈无舞伍额芜鹉梧讹亡午五捂武侮鹅蛾吴
悲	杯背碑卑	臂贝被辈焙狈惫北备倍
闷		们门
惠	诲讳贿汇绘晦慧会溃秽	恢虫茴堕回挥辉毁徽悔灰蛔
愕	噩俄遏饿恶鳄扼哑	阿额讹鹅蛾
惰	踱堕舵跺驮度	躲朵夺多
慨	楷咳岂凯	揩开
恼	脑	挠闹
惶	黄皇煌凰蝗	恍谎荒慌晃幌
愉	逾予于渔娱鱼榆舆隅愚	屿愈浴淤狱与豫遇羽语谷喻域裕雨玉尉育誉寓欲御迂郁预吁芋宇
掌	涨长	丈彰帐胀樟杖仗张账障章
描	瞄苗	庙秒妙渺藐
拣	柬捡茧检简俭剪减碱	践尖建鉴歼健监涧键兼贱肩箭溅渐荐坚艰舰煎间件剑见奸
揩	开	咳凯慨楷岂
揉	柔蹂	肉
揍	奏骤	走
插	喳叉差	刹察岔查茶
提	硕实啼食时什石十蚀蹄拾堤射题	拭惕体屉匙室施势屎使柿侍驶饰誓狮氏剔诗恃示剃式史事释嗜适尸涕失逝是虱士市世矢试视梯替识始师湿踢
握	沃卧	窝涡我
揖	衣医伊一依壹漪	夷疑艺肄意抑仪疫异忆翼益奕液毅屹艾已议以倚谊腋邑逸掖椅乙亦义溢遗移役易姨胰宜尾亿译绎蛇蚁矣
揭	接皆阶街结	节杰竭截届界介劫捷借解诫戒姊姐洁芥
挥	恢堕辉徽灰	虫茴惠晦讳贿汇回绘毁悔诲慧会溃秽蛔
捶	椎垂锤	吹炊
援	猿源辕原缘园元袁员圆	远宛渊愿怨冤鸳院
揪	鸠纠	就九舅酒久韭灸臼疚救旧究玖
换	唤幻痪宦焕涣患	缓环欢还
扬	杨洋阳羊	鸯养样痒秧殃氧仰央漾
敞	场厂	唱长昌偿畅常尝肠裳倡猖
敦	墩蹲	囤吨盹盾顿钝
敢	感赶秆杆橄	干肝竿甘柑
散	伞	三参
斑	班扳搬颁般	拌扮半伴板版绊办瓣
斯	司丝思撕嘶私	死食四饲伺肆似赐寺
普	圃浦谱	菩瀑仆扑葡朴铺暴蒲脯
晰	悉膝熙厘畦栖吸携析行西牺犀稀嬉希溪蟋	徙习戏息系袭细隙媳喜惜洗昔熄席锡夕
晴	倾情擎	亲氢庆卿顷轻请清蜻青
晶	鲸兢惊精经睛荆茎京更	颈径境竞静阱景净井劲靖警敬竟镜
景	颈影阱井警颖	兢竞荆茎映赢镜硬经鲸营迎净莹晶盈鹰惊径境婴鹦蝇应靖缨京竟萤荧精莺静睛英劲敬樱更
暑	黍鼠属薯数蜀署	术曙束书庶恕漱舒熟树梳叔述赎抒疏殊枢输淑竖蔬墅
智	挚知致治滞帜质识稚至制秩置志窒	址植直脂掷只氏征织执蜘之枝肢值止纸趾职支吱汁芝殖指旨
晾	凉量谅亮辆	两俩良粮梁粱
曾	憎增层	赠
替	屉涕剃惕	剔梯提体啼蹄堤题踢
期	激绩叽枝旗畦稽居鸡唧机脐歧几迹只鳍基饥箕棋奇肌积齐其畸崎祈骑讥	纪泣迄妓戚漆籍荠即吃棘脊借记急妻嫉七既鲫级寂气集及继砌济契挤寄凄企冀吉际启辑栖祭欺季柒剂起击系计器乞弃技圾汽忌溪己岂极疾
朝	昭嘲招潮巢着召	赵罩找爪抄吵钞超兆炒剿沼照
棺	官观冠关	馆管惯贯罐灌
棕	综踪纵宗	从总
棠	堂唐糖膛搪塘	淌躺趟烫倘汤
棘	辑即籍吃脊唧借急嫉击级集寂及圾吉极疾	纪叽妓稽给荠记几迹既鲫基饥箕继奇济挤积寄畸冀骑讥际激绩居祭机季剂系计技忌肌其己鸡期
枣	澡藻早蚤	皂躁造糟灶噪遭燥凿
椅	尾乙蚁矣已以倚	夷疑医艺肄意抑仪伊疫异漪忆翼衣益奕液毅屹艾一依议谊腋邑逸掖亦义溢遗移役易姨胰宜揖亿译绎蛇壹
栋	洞动冻	懂董东冬
棵	磕苛科蝌刻颗	咳坷客课壳渴可克
栈	暂战占站蘸绽颤	盏沾瞻崭毡斩展
棒	傍蚌谤旁磅	梆膀帮榜邦绑
栖	悉膝熙戚厘畦漆吸携晰欺柒析妻七行西牺犀凄稀嬉希溪蟋	泣迄稽习惜脐锡只徙鳍气戏奇砌媳隙喜契企祈骑枝启旗息洗起歧熄席系夕器乞棋袭弃昔汽齐其崎岂期细
棋	只鳍枝旗畦奇齐其崎脐祈歧骑期	泣迄戚稽漆妻七气砌契凄企启栖欺柒起器乞弃汽溪岂
棍		滚
植	值殖执职直质掷	址治致制脂窒只氏征织帜稚蜘之志智挚枝肢止纸趾至支秩吱置汁芝知滞指识旨
椒	交蕉娇胶焦礁教骄浇郊	矫侥搅狡轿叫觉绞饺角窖剿校脚较嚼缴
椎	垂锥捶追锤	缀炊赘吹坠
棉	绵眠	免冕娩勉面缅
棚	膨硼鹏篷澎蓬朋彭	捧碰烹砰
款		宽
欺	戚漆栖凄溪柒妻七	泣迄畦稽脐只鳍气奇砌契企祈骑枝启旗歧起器乞棋弃汽齐其崎岂期
钦	侵亲	勤擒秦琴禽寝芹
残	蚕惭	惨参餐灿
殖	植值执职直质掷	址治致制脂窒只氏征织帜稚蜘之志智挚枝肢止纸趾至支秩吱置汁芝知滞指识旨
壳	窍咳峭跷撬翘俏怯鹊确雀却	巧桥苛瞧刻渴颗克敲悄坷蝌棵瘸侨憔乔可缺磕锹客科课
毯	袒坦	贪檀碳炭叹探谭潭弹瘫痰坛昙谈滩摊
氮	诞弹石担蛋旦但淡	单胆耽丹
氯	露录鹿滤律陆绿虑路率赂碌	侣卢履屡炉旅娄卤芦驴颅鲁铝吕缕庐虏
港	岗	扛纲冈缸肛钢刚
游	尤由犹邮油	佑忧幽悠友又诱有幼优右
渡	肚杜度镀妒	牍堵督毒都读睹独赌
凑		臭操糙
渠		曲圈屈蛆去漆趋躯取岖娶驱趣区
渣	眨扎喳查	诈栅炸乍闸
减	柬拣捡茧检简俭剪碱	践尖建鉴歼健监涧键兼贱肩箭溅渐荐坚艰舰煎间件剑见奸
湘	相箱乡镶厢香	像橡项想祥向巷详享响翔象降
渤	泊舶搏勃白柏伯博卜脖薄驳膊荸	剥跛簸玻播拨般菠
湖	壶狐胡葫糊蝴弧	许呼沪互戏唬户乎护虎忽
涡	窝	沃握我卧
汤	伤商	上躺尚趟唐糖棠膛晌淌赏堂烫裳倘搪塘
渴	坷可	咳磕苛科客课蝌棵刻壳颗克
渺	秒藐	庙描妙瞄苗
测	策册侧厕
湃	派	排牌徘拍
浑	魂混	昏荤婚
滋	资姿咨吱	自字紫仔籽子滓
溉	丐概盖钙	该改
涣	唤换幻痪宦焕患	缓环欢还
焙	臂背贝被辈狈惫备倍	卑悲杯北碑
焚	坟	粉愤芬粪奋分份忿吩纷氛
焦	交椒蕉娇胶礁教骄浇郊	矫侥搅狡轿叫觉绞饺角窖剿校脚较嚼缴
焰	谚咽淹艳宴雁沿验研燕堰砚厌唁	严炎演颜奄延烟阎殷衍癌盐言眼掩
无	蜈芜巫诬亡梧吴	于务伍雾午乌舞勿武五呜污悟屋恶晤误物坞捂侮鹉
然	燃	染
煮	贮嘱主属拄	助朱住注蛛猪柱筑术珠祝铸轴竹烛蛀诸逐驻株
牌	排徘	拍湃派
犀	悉膝熙厘畦栖吸携晰析行西牺稀嬉希溪蟋	徙习戏息系袭细隙媳喜惜洗昔熄席锡夕
犹	尤由游邮油	佑忧幽悠友又诱有幼优右
猴	侯喉	候吼厚后
猩	腥星兴	邢行型刑形醒性姓杏幸省
琳	临淋鳞邻林磷	凛赁吝躏
琢	卓浊茁灼拙着啄酌	桌捉
琴	勤擒秦禽芹	侵亲钦寝
甥	生牲升胜笙声	乘绳剩圣盛省
画	化划桦话华	豁花滑猾哗
番	翻帆	樊反返范犯烦繁饭凡泛矾贩
痢	立吏砾雳丽隶沥粒励厉力荔历莉例俐利栗	李离礼犁厘理哩黎篱狸梨漓璃里鲤
痛		统彤桐同铜桶筒童通瞳
痘	斗豆读逗	都陡兜蚪抖
登	灯	凳等瞪邓蹬
发	伐	阀乏法罚筏
盗	道悼到稻倒导蹈	叨刀岛祷捣
困		捆坤昆
短		段缎断锻端
硝	嚣哮削宵箫销萧消	孝晓肖校小笑酵效学啸
硬	映应	鹦婴蝇缨赢萤荧莺影营迎莹英樱景颖盈鹰
砚	谚咽淹焰艳宴雁沿验研燕堰厌唁	严炎演颜奄延烟阎殷衍癌盐言眼掩
稍	烧梢捎	芍少勺绍召哨
秆	感赶敢杆橄	干肝竿甘柑
程	呈成惩城诚承乘盛橙澄	称秤撑逞
税	睡说蜕	谁水
稀	悉膝熙厘畦栖吸携晰析行西牺犀嬉希溪蟋	徙习戏息系袭细隙媳喜惜洗昔熄席锡夕
窘		菌君骏钧峻均龟军竣俊
窗	疮囱创	抢幢闯床撞
窖	轿觉叫教校较	椒角胶娇脚嚼矫侥狡绞蕉焦郊搅交饺剿礁骄浇缴
童	彤桐铜同瞳	统筒桶痛通
竣	骏俊峻菌	窘君钧均龟军
等		凳蹬瞪登灯邓
策	侧册测厕
笔	匕彼比鄙	逼庇壁毙碧璧臂毕闭鼻弊币必避蔽泌辟
筐	框	况狂旷眶矿
筒	桶统	彤桐铜痛同童通瞳
答	搭达瘩	大打
笋	损	孙
筋	津金斤巾禁浸今襟	进尽锦紧劲仅谨近晋
筏	阀乏伐法罚	发
筑	术轴竹烛逐	助朱贮煮住注猪主珠柱蛛祝属铸拄蛀诸嘱驻株
粟	缩肃宿塑诉素速溯	酥苏俗
粥	周州舟洲	昼肘咒皱帚轴宙
绞	侥较搅狡矫饺角剿脚缴	交椒轿叫觉蕉娇胶焦窖礁教校骄浇郊嚼
结	接节杰揭截阶竭街捷劫皆洁	届界介姊借解诫戒姐芥
绒	溶荣蓉榕熔融容茸	冗
绝	掘倔决觉角诀爵脚嚼
紫	仔滓子籽	资滋自字姿吱咨
絮	叙畜绪恤酗序旭婿蓄续	许徐需虚须吁
丝	司思斯撕嘶私	死食四饲伺肆似赐寺
络	劳烙洛落酪骆	箩萝锣骡牢裸姥老螺罗捞唠逻
给	济挤脊己几	纪妓叽即稽籍荠吃棘唧借记急嫉迹既鲫基集寂及饥箕继奇积寄畸冀吉骑讥际激绩辑居祭机季剂击系计技忌圾肌其鸡期极疾
善	单扇赡擅膳	闪衫山陕杉删珊
翔	祥详降	像想向箱镶巷湘象橡相项乡厢享响香
肃	缩宿粟塑诉素速溯	酥苏俗
腕	玩惋万	顽娩碗宛丸豌完湾婉晚弯挽
腔	抢将呛枪	墙强
腋	邑逸艺肄掖亦意抑义溢疫异役易忆翼衣益亿奕液毅译绎屹艾一议谊	夷疑医仪伊漪依已以倚椅乙遗移姨胰宜尾揖蛇蚁矣壹
肾	慎甚渗	沈伸呻审婶信申绅深参身神
胀	丈涨长帐杖仗账障	彰掌樟张章
脾	皮疲罢啤	屁否匹霹批坏被譬僻劈披辟
舒	疏殊枢梳输书蔬抒	术鼠曙束署暑属庶恕漱熟树黍叔薯述蜀赎淑数竖墅
菩	仆葡朴蒲脯	瀑浦谱暴铺圃普扑
萍	苹平评屏坪冯瓶凭	乒
菠	剥播拨般玻	泊舶渤搏勃驳白柏伯跛博卜簸薄脖膊荸
华	豁化花划画桦话滑猾哗
菱	凌灵玲伶蛉铃陵龄翎零	岭另领令
着	卓昭嘲浊遮招朝茁灼拙酌啄琢召	桌赵罩宅找爪摘折兆哲浙这蔗者沼辙照捉
莱	来	癞赖
萌	朦盟檬蒙	梦锰猛孟
菌	骏俊竣峻	窘君钧均龟军
菲	啡非诽飞匪	废费沸肺肥吠
菊	局鞠橘	聚蛆沮居车具俱炬举锯句据拘巨剧距拒驹惧矩足
萎	委伟尾苇威偎纬	为卫位喂维未胃味慰谓围巍畏薇伪尉违遗蔚微桅唯危魏
萄	逃淘陶桃涛	套掏讨滔
菜	采	财材踩才猜裁彩睬
虚	须需吁	许徐绪叙畜恤酗序絮旭婿蓄续
蛙	挖洼	娃瓦袜
蛔	茴回	恢虫堕挥诲灰秽惠讳贿汇绘辉毁徽悔晦慧溃会
蛛	朱猪珠诸株	助贮煮住注主柱筑术祝属铸轴拄竹烛蛀嘱驻逐
蛤	阁合革格隔葛	搁戈割胳各哥鸽哈疙个歌
街	接揭皆阶结	节杰竭截届界介劫捷借解诫戒姊姐洁芥
裁	财才材	菜采踩猜彩睬
裂	列劣烈猎	咧
袱	芙辐蝠浮福幅服缚俘符扶伏拂夫	妇赴腹麸付脯附赋斧父负甫敷傅咐肤抚俯府辅富复孵腐副
视	拭势逝室是使柿侍市士世饰适誓试氏恃示式识事释嗜	提匙施时屎驶拾狮实诗食什石十史射尸失硕虱蚀矢始师湿
注	助住柱祝铸蛀驻	朱贮煮蛛主猪拄筑术珠属轴竹烛逐诸嘱株
咏	泳蛹踊拥勇永	庸用佣
评	苹萍平屏坪冯瓶凭	乒
词	瓷雌祠辞慈磁	厕刺此伺差赐次
诅	祖组阻	卒族租足
诈	炸栅乍	眨喳渣查扎闸
诉	缩肃宿粟塑素速溯	酥苏俗
诊	枕疹侦珍斟榛针贞真	阵震振镇
象	像相橡项向乡巷	想祥箱镶厢详享响湘翔香降
贮	煮主嘱属拄	助朱住注蛛猪柱筑术珠祝铸轴竹烛蛀诸逐驻株
贴	帖	铁
贰	二	尔耳饵而儿
费	废吠肺沸	啡肥菲非诽飞匪
贺	鹤和荷喝吓赫	合核盖何河禾呵盒褐
贵	桂跪柜	傀归规鬼瑰诡龟闺轨
买		迈埋麦脉卖
贬	匾扁	辫蝙便辨辩遍变边鞭编
贸	貌冒帽茂	毛茅矛锚猫
贷	戴袋带大待逮代怠	歹呆
越	悦阅耀岳药粤跃说乐钥月	约
超	钞抄剿	嘲潮吵朝炒巢
趁	称衬	沈臣晨沉尘陈辰忱
距	聚巨剧具拒俱惧炬句锯据足	拘鞠蛆沮居车橘驹矩举局菊
跋	拔	八巴伯罢笆芭疤吧叭爸靶霸扒捌把耙坝
跑		刨炮袍咆泡抛
跌	碟谍蝶叠	爹
跛	簸	泊渤搏勃剥伯菠卜薄拨荸般脖膊舶柏白博播驳玻
轴	术筑竹烛逐	舟朱周煮住猪咒珠州粥拄帚株昼肘助贮蛛注柱主祝洲皱属铸宙蛀诸嘱驻
辜	估沽家咕姑孤	固股凸贾古雇鼓顾告滑故骨谷
逮	贷戴袋带大待代歹怠	呆
周	州舟粥洲	昼肘咒皱帚轴宙
逸	腋邑艺肄掖亦意抑义溢疫异役易忆翼衣益亿奕液毅译绎屹艾一议谊	夷疑医仪伊漪依已以倚椅乙遗移姨胰宜尾揖蛇蚁矣壹
进	尽劲仅禁浸近晋	津金斤锦紧巾今谨筋襟
邮	尤由犹游油	佑忧幽悠友又诱有幼优右
乡	像橡相项向箱镶巷厢湘象香	想祥详享响翔降
酣	和	韩悍函翰涵汗汉罕旱喊寒撼憾捍焊含
酥	苏	缩俗肃宿粟塑诉素速溯
量	凉谅粱晾良亮辆梁粮	两俩
钞	抄剿超	嘲潮吵朝炒巢
钮	纽扭	牛拗
钙	溉丐概盖	该改
钠	那呐纳捺娜	拿哪
钧	均君龟军	菌窘骏峻竣俊
钝	囤吨盹盾顿	墩蹲敦
闰	润
开	揩	咳凯慨楷岂
闲	嫌衔弦涎舷贤咸	仙现馅显掀险陷先腺纤线限铣癣鲜献县宪
间	践尖建鉴溅歼健渐荐监坚涧件键兼艰舰奸煎见贱剑肩箭	柬拣捡茧检简俭剪碱减
队	兑对	堆
阶	接揭皆街结	节杰竭截届界介劫捷借解诫戒姊姐洁芥
阳	杨扬洋羊	鸯养样痒秧殃氧仰央漾
隅	逾予愉于渔娱鱼榆舆愚	屿愈浴淤狱与豫遇羽语谷喻域裕雨玉尉育誉寓欲御迂郁预吁芋宇
隆	咙龙胧窿笼聋	拢垄
雁	谚咽淹焰艳宴沿验研燕堰砚厌唁	严炎演颜奄延烟阎殷衍癌盐言眼掩
雅	亚哑	牙压蚜鸭鸦轧呀讶涯衙押芽
雄	熊	匈凶胸汹兄
集	辑即籍吃棘脊唧借急嫉击级寂及圾吉极疾	纪叽妓稽给荠记几迹既鲫基饥箕继奇济挤积寄畸冀骑讥际激绩居祭机季剂系计技忌肌其己鸡期
雇	估告顾故固	孤沽辜股凸古家咕鼓姑滑贾骨谷
云	耘匀	晕酝陨允孕运蕴韵员
韧	赁认纫刃任	仁人儿忍
项	像相橡向乡巷象	想祥箱镶厢详享响湘翔香降
顺	瞬	吮盾
须	需吁虚	许徐绪叙畜恤酗序絮旭婿蓄续
饭	泛犯贩范	樊返矾繁烦帆番凡翻反
饮	印隐引瘾听蚓	吟淫银因殷茵姻音阴
冯	苹萍平评缝逢屏坪瓶凭	丰疯奉峰风封枫乒凤锋讽蜂
黄	皇煌凰惶蝗	恍谎荒慌晃幌
黍	暑鼠属薯数蜀署	术曙束书庶恕漱舒熟树梳叔述赎抒疏殊枢输淑竖蔬墅
黑	嘿
乱		卵峦
佣	庸拥	泳蛹踊用咏勇永
债	寨祭责	窄斋宅摘齐
傲	澳懊奥拗	袄熬凹
传	撰船赚转	喘穿串砖专川
仅	进尽紧锦劲谨禁浸近晋	津金斤巾今筋襟
倾	氢卿顷轻擎情清蜻晴青	亲庆请
催	崔衰摧	悴翠脆粹
伤	商汤	上尚裳赏晌
傻		霎砂杀杉煞沙厦纱
剿	侥较搅狡矫抄绞饺角钞超脚缴	轿叫炒窖巢椒嘲胶娇嚼潮吵蕉朝焦教校郊交觉礁骄浇
募	幕木慕暮沐目牧墓穆睦	亩姥姆母拇模牡
勤	擒秦琴禽芹	侵亲钦寝
势	拭逝室是使柿侍市士世饰适誓试氏视恃示式识事释嗜	提匙施时屎驶拾狮实诗食什石十史射尸失硕虱蚀矢始师湿
汇	诲惠讳贿绘晦慧会溃秽	恢虫茴堕回挥辉毁徽悔灰蛔
嗓		丧桑
嗦	缩梭唆	锁索琐所
吗	码玛马蚂蟆妈	麻骂么
嗜	拭势逝室是使柿侍市士世饰试誓氏视恃示式识事释适	提匙施时屎驶拾狮实诗食什石十史射尸失硕虱蚀矢始师湿
嗤	吃	翅匙弛驰斥池迟赤持尺齿耻侈
呜	于巫诬屋乌恶污	无务伍雾午吴舞勿梧五武芜悟亡蜈晤误物坞捂侮鹉
嗡	翁
嗅	锈臭宿袖秀绣	朽休修羞
呛	抢将枪腔	墙强
园	猿源辕原援缘元袁员圆	远宛渊愿怨冤鸳院
圆	猿源辕原援缘园元袁员	远宛渊愿怨冤鸳院
塞	瑟圾色腮赛涩
塑	缩肃宿粟诉素速溯	酥苏俗
塘	堂唐糖棠膛搪	淌躺趟烫倘汤
涂	凸徒图突屠途	土吐兔秃
塔		蹋踏塌
填	恬甜田	添天舔
块	筷会快刽
坞	勿务晤雾物误悟恶	无于伍巫诬午乌吴舞梧武五呜污芜亡屋蜈捂侮鹉
奥	澳傲懊拗	袄熬凹
嫁	假价稼贾架驾	佳荚钾挟加家甲颊夏夹嘉茄
嫉	辑即籍吃棘脊唧借急击级寂集及圾吉极疾	纪叽妓稽给荠记几迹既鲫基饥箕继奇济挤积寄畸冀骑讥际激绩居祭机季剂系计技忌肌其己鸡期
嫌	衔弦涎舷闲贤咸	仙现馅显掀险陷先腺纤线限铣癣鲜献县宪
妈	吗	码玛么马蚂蟆麻骂
媳	习袭息昔惜熄席锡	悉熙厘畦徙戏隙西喜牺希膝栖吸洗携晰析系行夕犀稀溪嬉蟋细
嫂	扫	骚艘搔
幌	恍谎晃	黄荒皇慌煌凰惶蝗
干		感赶敢肝竿秆杆甘柑橄
廉	帘怜连镰莲联	恋练脸敛炼链
厦	霎煞暇下吓夏	虾傻沙狭匣杉洽砂挟杀峡侠瞎霞斜辖纱
汇	诲惠讳贿绘晦慧会溃秽	恢虫茴堕回挥辉毁徽悔灰蛔
微	为薇维围违唯危巍桅	委卫位喂胃未味威偎慰谓苇畏伪尉遗萎纬蔚伟尾魏
愚	逾予愉于渔娱鱼榆舆隅	屿愈浴淤狱与豫遇羽语谷喻域裕雨玉尉育誉寓欲御迂郁预吁芋宇
意	腋邑逸艺肄掖亦抑义溢疫异役易忆翼衣益亿奕液毅译绎屹艾一议谊	夷疑医仪伊漪依已以倚椅乙遗移姨胰宜尾揖蛇蚁矣壹
慈	瓷词雌祠辞磁	厕刺此伺差赐次
感	赶敢秆杆橄	干肝竿甘柑
想	享响	像祥向箱镶巷详湘象降橡相项乡厢翔香
爱	碍艾隘	哀蔼挨哎埃矮唉
惹	若	热
愁	稠绸畴筹仇酬	臭抽丑
愈	域裕玉尉育誉浴寓欲芋御狱郁与豫预遇语吁谷喻	逾予雨屿迂于愉渔榆鱼娱舆隅愚羽淤宇
慎	肾甚渗	沈伸呻审婶信申绅深参身神
慌	荒	黄恍谎皇晃煌凰幌惶蝗
栗	立吏砾雳丽痢隶沥粒励厉力荔历莉例俐利	李离礼犁厘理哩黎篱狸梨漓璃里鲤
愧	溃	葵傀窥魁盔亏
搓	撮	锉挫措错
搞	稿搅	高糕羔篙告膏
搪	堂唐糖棠膛塘	淌躺趟烫倘汤
搭	答瘩	大达打
搬	班扳颁般斑	拌扮半伴板版绊办瓣
搏	泊舶渤勃白柏伯博卜脖薄驳膊荸	剥跛簸玻播拨般菠
搜		嗽
搔	骚艘	嫂扫
损	笋	孙
抢	将强闯呛枪腔	窗幢囱床疮墙撞创
摇	侥淆遥肴谣窑姚	么耀夭哟舀腰药乐咬吆要拗钥邀妖
捣	导倒岛祷	道叨悼到稻盗刀蹈
敬	径境竞静净劲靖竟镜	颈兢惊鲸经精睛阱荆茎井警京更景晶
斟	诊侦珍榛针贞真	阵振枕震疹镇
新	欣薪辛锌芯	衅信寻
暗	岸案按	鞍庵氨俺安
暇	狭匣洽厦挟峡侠下夏吓霞斜辖	瞎虾
晕	酝孕运蕴韵员	陨允云耘匀
会	虫快筷诲块秽惠讳贿汇刽绘毁悔晦慧溃	恢茴堕回挥辉徽灰蛔
榔	狼琅郎廊	浪朗
业	页咽夜叶射谒	爷野椰也冶
楚	础储处	矗锄畜初触橱除厨雏出
楷	岂慨凯	咳揩开
楔	骇屉谢屑蟹卸契泻解懈械	鞋写挟协些携谐歇斜邪血胁
极	辑即籍吃棘脊唧借急嫉击级寂集及圾吉疾	纪叽妓稽给荠记几迹既鲫基饥箕继奇济挤积寄畸冀骑讥际激绩居祭机季剂系计技忌肌其己鸡期
椰	爷	页咽野夜业叶也冶射谒
概	溉盖丐钙	该改
杨	洋扬阳羊	鸯养样痒秧殃氧仰央漾
楞		冷
枫	丰疯峰风封锋讽蜂	奉凤缝逢冯
榆	逾予愉于渔娱鱼舆隅愚	屿愈浴淤狱与豫遇羽语谷喻域裕雨玉尉育誉寓欲御迂郁预吁芋宇
楣	媒煤霉枚梅玫眉没	美每昧媚妹
歇	些	骇屉屑鞋挟蟹携谐楔斜邪懈械胁谢写协卸契泻解血
岁	祟穗碎隧遂	随髓虽
毁	虫贿悔诲会	恢茴堕惠晦讳汇挥回绘辉徽灰慧溃秽蛔
殿	店垫甸玷淀佃奠电惦	颠典点碘
溢	腋邑逸艺肄掖亦意抑义疫异役易忆翼衣益亿奕液毅译绎屹艾一议谊	夷疑医仪伊漪依已以倚椅乙遗移姨胰宜尾揖蛇蚁矣壹
溯	缩肃宿粟塑诉素速	酥苏俗
滓	仔子籽紫	资滋自字姿吱咨
溶	荣绒茸蓉榕熔容融	冗
源	猿辕原援园缘元袁员圆	远宛渊愿怨冤鸳院
沟	勾钩句	苟垢购狗构够
灭	蔑
溺	泥腻匿逆	你拟尼呢
温	瘟	免紊问吻蚊文闻纹稳
滑	豁骨华股凸古划桦鼓贾猾谷哗	估沽辜化花话家画雇咕告顾姑孤故固
准		谆屯
溜	馏陆六	刘铆流榴硫留瘤柳泵琉
沧	仓苍舱	藏
滔	掏涛	萄逃淘陶讨套桃
溪	悉膝熙戚厘畦漆栖吸携晰欺柒析妻七行西牺犀凄稀嬉希蟋	泣迄稽习惜脐锡只徙鳍气戏奇砌媳隙喜契企祈骑枝启旗息洗起歧熄席系夕器乞棋袭弃昔汽齐其崎岂期细
煎	坚兼尖艰溅歼渐间监肩奸	践建鉴健涧拣捡键检碱贱箭柬简剪荐茧俭舰减见件剑
烟	淹咽奄殷燕厌	炎艳焰延雁癌砚衍盐言掩谚颜验沿堰眼唁演阎宴研严
烦	樊帆繁凡矾	返范犯泛番饭翻反贩
煤	媒霉枚梅楣玫眉没	美每昧媚妹
炼	恋敛练链	帘怜连脸镰莲联廉
照	兆赵罩召	昭嘲找招爪朝着沼
煌	黄皇凰惶蝗	恍谎荒慌晃幌
焕	唤换幻痪宦涣患	缓环欢还
煞	霎沙砂杉纱厦杀	傻
爷	椰	页咽野夜业叶也冶射谒
狮	失施诗虱师湿尸	拭提匙势室时屎使柿侍驶拾饰誓氏实食恃什示石十式史事射释适嗜硕逝是市士蚀世矢试视识始
猿	源辕原援缘园元袁员圆	远宛渊愿怨冤鸳院
猾	豁划桦滑华哗	化花话画
瑟	塞色圾涩
瑞	锐	蕊
当	铛裆荡挡	档党
